time/episodes,train/std,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/ent_coef,train/Main_losses,train/MSE_loss,train/n_updates,train/RL_loss,train/actor_loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/critic_loss,train/critic_los,train/learning_rate
4,0.04978706315159798,295,73.75,0,1944,-106.7857955,,,,,,,,,,,,,
8,0.04978706315159798,3659,457.375,1,2119,-101.81773875,,,,,,,,,,,,,
12,0.04978706315159798,5511,459.25,2,2117,-100.63072625,,,,,,,,,,,,,
16,0.04978706315159798,5830,364.375,2,2111,-103.52372224999999,,,,,,,,,,,,,
20,0.04978706315159798,7587,379.35,3,2115,-104.04813374999999,,,,,,,,,,,,,
24,0.04978706315159798,7919,329.9583333333333,3,2074,-104.33292625000001,,,,,,,,,,,,,
28,0.04978706315159798,9763,348.67857142857144,4,2082,-103.87053907142858,,,,,,,,,,,,,
32,0.050007037818431854,10490,327.8125,9,1053,-105.44821815625,1.0679826736450195,0.7272672262042761,2.3252412229776382,4.699080467224121,448,-3.602903366088867,-4.120455201715231,6.484603960067034,-1.6603308953344822,0.994,16.190793372690678,31.38728904724121,0.00073
36,0.050018467009067535,10741,298.3611111111111,12,833,-105.73564369444443,5.841580390930176,0.6050403472036123,0.4653479754924774,11.603687286376953,704,-5.64607048034668,-5.893970150500536,6.423553578555584,-2.6777274385094643,0.99,8.187846651300788,5.98201847076416,0.00073
40,0.050045788288116455,11151,278.775,17,621,-106.715892925,1.1516551971435547,0.4470680677331984,-0.4379834309220314,7.521053791046143,1152,-6.241540431976318,-6.297495953738689,5.960847023874521,-3.7365007158368826,0.983,3.43697502464056,1.35909104347229,0.00073
44,0.050038810819387436,11748,267.0,24,479,-107.71927461363636,-0.011555671691894531,0.31270434986799955,0.8817071355879307,6.152264595031738,1728,-6.003861427307129,-4.65243386849761,5.681869752705097,-4.563964072614908,0.974,3.004664887674153,2.2202253341674805,0.00073
48,0.05002346634864807,12353,257.3541666666667,31,389,-108.09728085416667,6.595428466796875,0.2169017130509019,5.068158850073814,5.606037616729736,2368,1.1912081241607666,0.1679477181751281,5.08320664614439,-4.9294063821434975,0.964,2.519214805215597,1.3397901058197021,0.00073
52,0.04994656518101692,13372,257.15384615384613,42,313,-108.64045459615384,10.123830795288086,0.1352058353368193,10.437131337821484,4.73630428314209,3328,5.629077911376953,5.983133979141712,4.693358652293682,-3.7023822041228414,0.949,1.2771895853802562,2.0953943729400635,0.00073
56,0.04966697096824646,15493,276.6607142857143,67,230,-107.57712630357143,17.219493865966797,0.06119416211731732,16.606021597981453,4.8636474609375,5504,12.769256591796875,12.906355246901512,4.043351225554943,-1.8626145718153566,0.915,0.5341204851865768,0.341386079788208,0.00073
60,0.0494847297668457,17205,286.75,85,200,-106.69658410000002,18.790077209472656,0.043216138205025345,17.845774829387665,4.656421661376953,7168,14.650517463684082,14.360000118613243,3.9210064820945263,-0.9999337538611144,0.889,0.42065275250934064,0.4111606180667877,0.00073
64,0.049310483038425446,18996,296.8125,106,178,-105.58607859374999,16.376440048217773,0.034526845323853195,17.207270309329033,3.4279966354370117,8960,13.424934387207031,14.013933271169662,3.7088698744773865,0.6107070348225534,0.861,0.4641040153801441,0.31235796213150024,0.00073
68,0.0492522306740284,19953,293.4264705882353,117,170,-105.02717820588234,17.763774871826172,0.03227460867492482,17.522876784205437,5.657294750213623,9920,12.977704048156738,14.333895519375801,3.7694813944399357,0.6350262352498248,0.846,0.5039558815769851,0.4969840347766876,0.00073
72,0.049157265573740005,23215,322.43055555555554,154,150,-103.89581709722222,13.073694229125977,0.02694559341762215,14.05500265955925,1.9500535726547241,13184,11.523401260375977,11.444431841373444,3.283736737444997,0.36462497361935675,0.795,0.32879958860576153,0.31194931268692017,0.00073
76,0.04901156201958656,26711,351.4605263157895,194,137,-101.92665830263158,11.842085838317871,0.021726951439632103,11.893147572875023,2.774113893508911,16704,9.789241790771484,9.670119941234589,3.0040912237018347,0.12227494549006224,0.74,0.3544500395655632,0.2398352324962616,0.00073
80,0.04899787902832031,27822,347.775,206,134,-101.23707655000001,10.714156150817871,0.0218537931505125,11.844781011343002,2.662868022918701,17792,8.788902282714844,9.515574261546135,3.2215861566364765,0.49527718708850443,0.723,0.3092347190249711,0.261593222618103,0.00073
84,0.0490134172141552,28915,344.2261904761905,218,132,-100.86753148809525,10.22086238861084,0.020654659369029105,11.562476843595505,3.8522071838378906,18880,7.501204013824463,9.355620317161083,3.1258592288941145,0.6687776009785011,0.706,0.3761793451849371,0.24769985675811768,0.00073
88,0.049126073718070984,32033,364.0113636363636,254,125,-97.78626662500001,11.25261116027832,0.01769986332510598,9.381732195615768,2.429576873779297,22016,9.656378746032715,7.701187185943127,2.557907061651349,-1.0411363921593875,0.657,0.3362474818713963,0.2308502197265625,0.00073
92,0.04903513565659523,33586,365.0652173913044,271,123,-96.3574154673913,7.62879753112793,0.016577278322074562,8.787416890263557,1.587807297706604,23552,6.623715400695801,7.014070846140385,2.801494412124157,0.5986534759867936,0.633,0.32989231846295297,0.2609637379646301,0.00073
96,0.04875500872731209,39286,409.2291666666667,336,116,-91.54461252083333,6.73705530166626,0.012838800277677365,6.4455825984478,4.1594624519348145,29248,4.474307537078857,5.066672392189503,2.5347612760961056,-0.2237150294240564,0.544,0.24564629490487278,0.12096214294433594,0.00073
100,0.04837639629840851,44982,449.82,401,112,-84.05873113000001,5.051360607147217,0.01020047822385095,4.052168499678373,2.0006117820739746,34944,4.141082286834717,3.0004423670470715,2.311485955491662,-0.5421771216206253,0.455,0.24743608117569238,0.3939818739891052,0.00073
104,0.04825468733906746,51272,509.77,473,108,-68.96705643,-0.0025832653045654297,0.009797859733225778,0.8020175849087536,3.0236189365386963,41280,-1.0789916515350342,-0.013551296666264534,2.2909237910062075,1.0558341071009636,0.356,0.164391610189341,0.11448996514081955,0.00073
108,0.04845232889056206,54998,513.39,515,106,-61.15522139999999,-0.9242871403694153,0.009179296393995173,-0.5375095121562481,2.0318431854248047,44992,-1.5297764539718628,-1.172523663379252,2.1309199072420597,0.06739584519527853,0.298,0.19759742263704538,0.13720795512199402,0.00073
112,0.04857581481337547,60608,550.97,578,104,-45.596655979999994,-1.8504533767700195,0.008336148472153582,-2.577854591421783,2.6163330078125,50560,-2.4024996757507324,-3.050434060394764,2.2397131826728582,0.4600383685901761,0.211,0.15038284566253424,0.13349825143814087,0.00073
116,0.048801615834236145,64631,588.01,624,103,-32.6632085,-3.657783031463623,0.0082201057812199,-4.226543600670993,2.3048887252807617,54592,-3.9989066123962402,-4.565964035689831,2.2933814376592636,-1.2039650897495449,0.148,0.16635496396338567,0.16872075200080872,0.00073
120,0.048823919147253036,66720,591.33,648,102,-27.590064989999995,-3.256136894226074,0.007606983039295301,-4.299127176403999,2.514132022857666,56704,-3.545262098312378,-4.587424971163273,2.506937375292182,-0.3189283662941307,0.115,0.225341230398044,0.13655801117420197,0.00073
124,0.048865530639886856,70307,623.88,689,101,-16.783629929999996,-6.165253162384033,0.008168866013875231,-5.442274574190378,2.3302903175354004,60288,-6.302740097045898,-5.5915733352303505,2.53048750013113,-0.4596882325131446,0.059,0.27964946418069303,0.22781454026699066,0.00073
