rollout/ep_rew_mean,time/time_elapsed,time/fps,train/std,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/MSE_loss,train/loss,train/Beta,train/actor_loss,train/RL_loss,train/ent_coef,train/MSE_losses,train/critic_loss,train/learning_rate,train/critic_los,train/n_updates,train/Main_losses
-92.825378,2,2088,0.04978706315159798,4,1228.75,4915,,,,,,,,,,,,,
-100.528700125,3,2035,0.04978706315159798,8,851.125,6809,,,,,,,,,,,,,
-100.50301391666666,4,2047,0.04978706315159798,12,721.25,8655,,,,,,,,,,,,,
-102.8094905,4,2032,0.04978706315159798,16,559.125,8946,,,,,,,,,,,,,
-103.87803975,4,2030,0.04978706315159798,20,466.6,9332,,,,,,,,,,,,,
-105.68542874999999,7,1420,0.04995814338326454,24,425.6666666666667,10216,-0.731832227203995,6.959685325622559,5.141757488250732,0.998,-1.3744942239718512,-1.8040083646774292,0.8763116551563144,7.141893588006496,18.759934860980138,0.00073,1.1788818836212158,192,5.753115728497505
-109.22734935714286,22,509,0.05004351586103439,28,412.64285714285717,11554,-4.39044414460659,6.388459205627441,-0.484893798828125,0.977,-6.536475867033005,-6.726418495178223,0.3466516835615039,5.915229260921478,2.2554657398723066,0.00073,0.5591698884963989,1536,-0.7572968974709511
-108.72386503125,27,439,0.0500289723277092,32,373.125,11940,-5.22036075219512,6.152444839477539,0.44696760177612305,0.971,-5.076025981456041,-5.5270562171936035,0.2725606639869511,5.834612540900707,1.962645092047751,0.00073,0.5864454507827759,1920,0.5893828831613064
-109.05926752777778,47,286,0.049923911690711975,36,380.9166666666667,13713,-4.851411770796403,4.0719804763793945,11.778532028198242,0.943,4.75980070233345,7.938653945922852,0.10685366194229573,4.888466630131006,1.8486835970543325,0.00073,0.6868489384651184,3712,9.36962477862835
-106.7870675,66,231,0.0498044416308403,40,382.45,15298,-2.8446438843384385,5.508579254150391,16.04241180419922,0.918,9.954400822520256,10.985535621643066,0.0587398168281652,4.572197690606117,0.4740253712516278,0.00073,1.6488986015319824,5312,14.151678249239922
-105.20508147727274,80,205,0.04966462031006813,44,375.8181818181818,16536,-0.18409143341705203,5.264667987823486,16.18581199645996,0.899,11.722336649894714,11.452875137329102,0.04267309309216216,4.274197217077017,0.4406757904216647,0.00073,0.43400704860687256,6528,15.564839974045753
-104.81233435416668,101,181,0.04954443499445915,48,382.3125,18351,-0.41644116141833365,3.891132116317749,16.685306549072266,0.871,12.357750087976456,13.296131134033203,0.03447215643245727,3.7167925611138344,0.3637903716880828,0.00073,0.34196025133132935,8320,15.595076397061348
-103.50174659615385,129,160,0.0494445338845253,52,399.53846153846155,20776,0.5343373336363584,5.021261215209961,16.56790542602539,0.833,12.71776182949543,12.385194778442383,0.028790426556952298,3.5655152294784784,0.459441137034446,0.00073,0.44210386276245117,10752,15.687836095690727
-102.76357271428571,143,153,0.049500029534101486,56,392.51785714285717,21981,0.156551206484437,4.828220367431641,16.87278938293457,0.814,12.307837754487991,12.942617416381836,0.028982003161218017,3.470654159784317,0.4687017328105867,0.00073,2.03548002243042,11968,15.132950261235237
