time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/std,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/MSE_losses,train/learning_rate,train/ent_coef_loss,train/MSE_loss,train/critic_los,train/actor_loss,train/RL_loss,train/n_updates,train/Main_losses,train/loss,train/Beta,train/ent_coef
1798,-103.67319499999999,4,0.04978706315159798,2095,449.5,0,,,,,,,,,,,,,
5126,-101.316447375,8,0.04978706315159798,2098,640.75,2,,,,,,,,,,,,,
5489,-103.57186183333333,12,0.04978706315159798,2092,457.4166666666667,2,,,,,,,,,,,,,
7323,-102.0256619375,16,0.04978706315159798,2097,457.6875,3,,,,,,,,,,,,,
10620,-106.69832745000001,20,0.050045911222696304,942,531.0,11,10.78411188069731,7.771439045667648,0.00073,-2.794965907931328,8.109445571899414,0.5446979999542236,-13.395365118980408,-13.293174743652344,576,-13.395365118980408,-13.293174743652344,0.0,0.6491240095347166
11218,-109.06788291666668,24,0.05008597671985626,609,467.4166666666667,18,4.714656554628164,7.334343157708645,0.00073,-5.843754410743713,8.380922317504883,1.6213018894195557,-22.405392795801163,-23.441425323486328,1216,-22.405392795801163,-23.441425323486328,0.0,0.4049412617459893
12169,-110.85562942857143,28,0.05006900802254677,417,434.60714285714283,29,2.2633284856565297,7.6330839693546295,0.00073,-9.759644336998463,7.655531406402588,0.9494038224220276,-24.695803463459015,-25.133983612060547,2176,-24.695803463459015,-25.133983612060547,0.0,0.20370122021995485
12536,-111.2671970625,32,0.05005144327878952,382,391.75,32,2.2689609355293214,7.851732641458511,0.00073,-10.80246489495039,8.089168548583984,0.7781203985214233,-23.687887012958527,-23.782695770263672,2496,-23.687887012958527,-23.782695770263672,0.0,0.1624625043477863
13562,-113.69645405555555,36,0.04986942559480667,306,376.72222222222223,44,5.536355724092573,7.787287145853043,0.00073,-12.663727924227715,8.057273864746094,0.7483776807785034,-19.713505059480667,-19.95879554748535,3520,-19.713505059480667,-19.95879554748535,0.0,0.08239146554842591
15515,-114.12083292500002,40,0.04940754547715187,232,387.875,66,2.975721287133638,8.405900314450264,0.00073,-8.089147011749446,8.644245147705078,0.13006529211997986,-12.08291357755661,-12.23033332824707,5504,-12.08291357755661,-12.23033332824707,0.0,0.026279267243808135
16535,-115.32532545454548,44,0.0491713210940361,211,375.79545454545456,78,3.4108203483046964,8.443110160529613,0.00073,-9.165906798094511,9.805695533752441,1.23813796043396,-8.596657156944275,-7.275059700012207,6528,-8.596657156944275,-7.275059700012207,0.0,0.01688295221538283
16898,-114.68023145833332,48,0.04903090000152588,204,352.0416666666667,82,2.1823750943876803,8.127133697271347,0.00073,-12.40931379236281,8.294676780700684,0.08717277646064758,-7.3290638998150826,-7.3937764167785645,6912,-7.3290638998150826,-7.3937764167785645,0.0,0.014172906245221384
17163,-114.2716358076923,52,0.04895269125699997,200,330.0576923076923,85,3.7819717407692224,7.52340254932642,0.00073,-9.656084300484508,6.986005783081055,0.1636897772550583,-6.429962486028671,-6.343480587005615,7168,-6.429962486028671,-6.343480587005615,0.0,0.012094652280211449
17529,-114.0662869107143,56,0.04884805157780647,196,313.01785714285717,89,3.1486920417519286,9.052508555352688,0.00073,-10.512720447033644,9.045411109924316,2.708800792694092,-5.07424034178257,-4.502956867218018,7488,-5.07424034178257,-4.502956867218018,0.0,0.009928633124218322
17883,-114.02734055,60,0.04870212823152542,191,298.05,93,6.284680531360209,9.04652751237154,0.00073,-8.98280212841928,7.776041507720947,3.884206533432007,-3.5748410411179066,-3.7753138542175293,7872,-3.5748410411179066,-3.7753138542175293,0.0,0.008138097109622322
19039,-114.81914118750001,64,0.048287998884916306,178,297.484375,106,4.032160316593945,8.42067988961935,0.00073,-5.818615905940533,8.365025520324707,0.5990145206451416,-0.7274509004782885,-1.3266243934631348,9024,-0.7274509004782885,-1.3266243934631348,0.0,0.0047991994870244525
22329,-115.33375304411767,68,0.046925149857997894,155,328.36764705882354,143,2.1903001988539472,7.4078992903232574,0.00073,0.4903481169603765,6.771451950073242,0.430209219455719,1.0295058478368446,1.053015112876892,12288,1.0295058478368446,1.053015112876892,0.0,0.0027905606002605055
22570,-114.7214108888889,72,0.04684775322675705,153,313.47222222222223,146,1.9003601693548262,7.080659233033657,0.00073,1.6064061564393342,7.8683319091796875,0.7993594408035278,1.1649188527371734,2.0108015537261963,12544,1.1649188527371734,2.0108015537261963,0.0,0.0028223257686477154
22858,-114.00257121052633,76,0.046775709837675095,152,300.7631578947368,150,3.2562304351013154,8.548300869762897,0.00073,0.3573188385926187,8.379481315612793,0.2532184422016144,1.8518503184895962,1.5072641372680664,12864,1.8518503184895962,1.5072641372680664,0.0,0.00282120240808581
23512,-113.67722183750001,80,0.0466914065182209,149,293.9,157,1.717057949397713,8.065050944685936,0.00073,0.5988141391426325,8.312644958496094,0.5279231071472168,2.045630415668711,2.0505714416503906,13504,2.045630415668711,2.0505714416503906,0.0,0.003058736754610436
23707,-113.58527234523812,84,0.04666879028081894,148,282.2261904761905,159,1.6834350689314306,8.31659859418869,0.00073,1.195777547545731,8.557353973388672,1.0072916746139526,2.0290997511474416,1.9307403564453125,13696,2.0290997511474416,1.9307403564453125,0.0,0.003184326531481929
23970,-113.54390953409091,88,0.04662684351205826,147,272.3863636363636,162,3.285024658543989,8.134273327887058,0.00073,0.28285992809105664,8.956355094909668,6.988622665405273,2.419162621954456,4.585484504699707,13952,2.419162621954456,4.585484504699707,0.0,0.003311712684080703
27652,-112.24805810869566,92,0.045363008975982666,134,300.5652173913044,204,0.4944179458543658,8.181343674659729,0.00073,-0.9825422922149301,7.420891284942627,0.5733117461204529,3.349537206813693,2.021967887878418,17664,3.349537206813693,2.021967887878418,0.0,0.0041236107717850246
32061,-111.88008426041665,96,0.0443088598549366,126,333.96875,253,0.29245452396571636,8.831633359193802,0.00073,-1.5878696809522808,8.900842666625977,0.14507479965686798,2.720315309241414,2.148257255554199,22016,2.720315309241414,2.148257255554199,0.0,0.003139367250696523
36930,-110.44885319999997,100,0.04386061057448387,119,369.3,309,0.9288769630948082,8.100972905755043,0.00073,0.20053245685994625,7.765459060668945,0.2495635747909546,2.630363908596337,3.402580738067627,26944,2.630363908596337,3.402580738067627,0.0,0.0030951931221352424
37207,-110.51142438999999,104,0.04379194602370262,119,354.09,312,0.2934417467331514,7.927567690610886,0.00073,0.521219989284873,7.960761070251465,0.2280353307723999,2.5020243637263775,1.765228033065796,27200,2.5020243637263775,1.765228033065796,0.0,0.0030627839296357706
37534,-110.52584226000003,108,0.04375013709068298,118,324.08,316,0.9622646893840283,7.723443739116192,0.00073,0.9428700061980635,7.908092975616455,0.5220797657966614,2.9787698071449995,3.7643613815307617,27520,2.9787698071449995,3.7643613815307617,0.0,0.0032956579198071267
42431,-109.37007212000002,112,0.04322195053100586,114,369.42,371,0.20255773613462225,8.076116733253002,0.00073,0.5260439338162541,8.128623962402344,0.19881516695022583,3.026545522734523,4.344177722930908,32384,3.026545522734523,4.344177722930908,0.0,0.0028175834377179854
44413,-109.45893970999998,116,0.04296291619539261,112,370.9,393,0.543996324588079,8.071828223764896,0.00073,1.2170045906677842,7.917282581329346,0.15049833059310913,2.7559486888349056,3.0954337120056152,34368,2.7559486888349056,3.0954337120056152,0.0,0.0024697223561815917
46336,-108.48141973999998,120,0.04293467849493027,111,357.16,415,0.41191859357059,8.137715630233288,0.00073,0.6076308717019856,8.254698753356934,0.1782873570919037,3.553289160132408,2.6471879482269287,36288,3.553289160132408,2.6471879482269287,0.0,0.0022979368586675264
46798,-107.87682853,124,0.04287918657064438,111,355.8,421,0.2588548307539895,8.178816258907318,0.00073,0.5031166702974588,8.354000091552734,0.19114112854003906,3.6479352675378323,4.408054351806641,36800,3.6479352675378323,4.408054351806641,0.0,0.0022940747730899602
47271,-107.25486873,128,0.04285294935107231,110,351.02,426,0.41624023218173534,7.863026462495327,0.00073,0.5600849543698132,8.001091003417969,0.1268443614244461,4.198501482605934,3.557889461517334,37248,4.198501482605934,3.557889461517334,0.0,0.002472169988323003
47744,-107.65835342999999,132,0.04287266731262207,110,352.08,431,0.6234866959275678,7.535139329731464,0.00073,1.558177798986435,7.711980819702148,0.17021964490413666,4.6674975380301476,3.2687437534332275,37696,4.6674975380301476,3.2687437534332275,0.0,0.00261958683404373
49676,-106.78353525,136,0.04244821518659592,109,361.14,454,0.3463749074144289,8.603827491402626,0.00073,0.1604263330809772,8.93342113494873,0.46318188309669495,4.932076551020145,6.007498741149902,39680,4.932076551020145,6.007498741149902,0.0,0.0025395848897460382
51566,-106.06475855000001,140,0.04208581894636154,108,360.51,475,0.44956109300255775,8.591711230576038,0.00073,0.7920245341956615,8.680950164794922,0.5161502361297607,4.544726949185133,4.944875717163086,41536,4.544726949185133,4.944875717163086,0.0,0.0026228467577311676
53758,-104.58816184000001,144,0.04180581495165825,107,372.23,500,0.34390955639537424,8.369252316653728,0.00073,-0.6383536984212697,8.224693298339844,0.32573792338371277,4.087888162583113,2.5121023654937744,43712,4.087888162583113,2.5121023654937744,0.0,0.0027735065814340487
60158,-102.56463622999999,148,0.04083035886287689,104,432.6,573,0.38799429568462074,8.203288570046425,0.00073,-0.8335230187512934,8.705668449401855,0.19846530258655548,4.176574394106865,3.3238093852996826,50112,4.176574394106865,3.3238093852996826,0.0,0.0022250556576182134
63422,-102.06647633,152,0.04066947475075722,103,462.59,609,0.39811198238749057,8.1590171828866,0.00073,-1.0198171171359718,7.571063995361328,0.14551612734794617,3.9238099604845047,2.728109359741211,53376,3.9238099604845047,2.728109359741211,0.0,0.002293796234880574
68716,-101.13376502999999,156,0.04029875621199608,102,511.87,670,0.24576614133547992,7.781155355274677,0.00073,-0.2369383063632995,7.507679462432861,0.1403365135192871,4.167167529463768,4.416363716125488,58688,4.167167529463768,4.416363716125488,0.0,0.0021206987694313284
73975,-99.50593705999998,160,0.04022473096847534,101,560.92,729,0.14899696607608348,8.099353559315205,0.00073,-1.0791792420204729,7.993893146514893,0.19332700967788696,3.8665072843432426,2.9255642890930176,63936,3.8665072843432426,2.9255642890930176,0.0,0.002013063658523606
79020,-97.07406725999999,164,0.0397268570959568,100,599.81,785,0.14758662699023262,8.618863202631474,0.00073,-0.5753281665965915,8.465592384338379,0.08201222121715546,3.3941693995147943,2.66912841796875,68992,3.3941693995147943,2.66912841796875,-0.0,0.0022135190047265496
82474,-95.55784217,168,0.03962939605116844,100,601.45,824,0.19650123175233603,8.442955262959003,0.00073,1.1444611784536391,7.911533832550049,0.21235810220241547,3.677954602986574,4.112400531768799,72448,3.677954602986574,4.112400531768799,-0.0,0.0019126682745991275
87438,-93.95422318000001,172,0.03952072188258171,99,648.68,881,0.36804696352919564,8.747925624251366,0.00073,-0.32581996265798807,8.771108627319336,0.32711493968963623,3.4325889479368925,4.616491317749023,77440,3.4325889479368925,4.616491317749023,-0.0,0.0020492052935878746
93838,-92.07134649999998,176,0.03919268399477005,98,709.8,954,0.2127753989188932,8.94820374250412,0.00073,-0.22483738628216088,8.555688858032227,0.09538839757442474,3.3040366545319557,3.5292398929595947,83840,3.3040366545319557,3.5292398929595947,-0.0,0.002039771938143531
97558,-90.25835966999999,180,0.03917232155799866,97,740.46,997,0.26831133058294654,8.715869903564453,0.00073,0.3027380022685975,8.562084197998047,0.13087503612041473,2.944284537807107,3.517091751098633,87552,2.944284537807107,3.517091751098633,-0.0,0.002009584139159415
100194,-89.52511716,184,0.03917744755744934,97,764.87,1027,0.22586136433528736,8.641673989593983,0.00073,-0.44562347372993827,8.902806282043457,0.1868479996919632,2.981833189725876,4.123064994812012,90176,2.981833189725876,4.123064994812012,-0.0,0.0018257552110299002
105139,-86.86268280999998,188,0.039376623928546906,97,811.69,1083,0.39072809170465916,8.618047654628754,0.00073,0.023673280142247677,8.705718040466309,0.20984308421611786,3.527515232563019,3.0275864601135254,95104,3.527515232563019,3.0275864601135254,-0.0,0.001908019725306076
106390,-87.32863769,192,0.039285849779844284,96,787.38,1098,0.25131137849530205,8.7599668353796,0.00073,2.060184546513483,8.249897003173828,0.10537603497505188,3.526895646005869,4.205033302307129,96384,3.526895646005869,4.205033302307129,-0.0,0.0020187488771625794
108613,-86.44382489999998,196,0.03949456661939621,96,765.52,1124,0.2099684540880844,8.618761450052261,0.00073,-0.8531420602230355,8.90182876586914,0.14000459015369415,3.5324209202080965,3.5562803745269775,98624,3.5324209202080965,3.5562803745269775,-0.0,0.0022175512422109023
115013,-85.01807537000002,200,0.03951076418161392,96,780.83,1197,0.1254372630501166,8.282278873026371,0.00073,-0.30516633321531117,7.564159393310547,0.13903677463531494,3.237834019586444,2.7629032135009766,105024,3.237834019586444,2.7629032135009766,-0.0,0.0022212317708181217
120108,-83.01273334,204,0.03970473259687424,95,829.01,1254,0.13475170329911634,8.282576225697994,0.00073,-0.7414103841874748,8.816139221191406,0.1460421234369278,3.1020619310438633,2.6868417263031006,110080,3.1020619310438633,2.6868417263031006,-0.0,0.002016110454860609
124980,-81.45552470999999,208,0.039366044104099274,95,874.46,1310,0.11884911678498611,8.261435836553574,0.00073,-0.9206163468770683,8.271171569824219,0.10159175097942352,2.9186328798532486,3.641887664794922,114944,2.9186328798532486,3.641887664794922,-0.0,0.002089985329803312
130704,-80.11854113,212,0.039096202701330185,94,882.73,1375,0.12260257848538458,8.051294296979904,0.00073,-0.4240581237245351,7.568748474121094,0.0776822492480278,2.719002628698945,2.792828321456909,120704,2.719002628698945,2.792828321456909,-0.0,0.0018817799409589497
134647,-78.42289112999998,216,0.03912348672747612,94,902.34,1420,0.11244332930073142,7.8680814281105995,0.00073,1.074435584479943,7.861994743347168,0.09260612726211548,2.9897845033556223,2.3827590942382812,124608,2.9897845033556223,2.3827590942382812,-0.0,0.001809817562389071
136418,-78.22029443,220,0.039284225553274155,94,900.82,1440,0.12691698194248602,7.458466030657291,0.00073,-1.7517651434754953,8.059919357299805,0.19782370328903198,2.7752271723002195,3.6965699195861816,126400,2.7752271723002195,3.6965699195861816,-0.0,0.0020067731093149632
140107,-77.74434118,224,0.03908330947160721,94,933.09,1482,0.261513666016981,7.552436284720898,0.00073,2.1492932429537177,7.752506256103516,0.13989144563674927,2.977499196305871,2.432948350906372,130112,2.977499196305871,2.432948350906372,-0.0,0.0020481953833950683
140608,-77.94325451,228,0.039158836007118225,94,933.37,1487,0.18763546185800806,7.812693148851395,0.00073,0.39580410858616233,7.357562065124512,0.11764321476221085,2.8006620351225138,1.8156579732894897,130560,2.8006620351225138,1.8156579732894897,-0.0,0.0024342892356798984
141079,-77.33650572,232,0.039186105132102966,94,933.35,1493,0.2352757555199787,7.927342511713505,0.00073,-0.886775876628235,7.745792865753174,0.2696031332015991,3.046620348468423,3.4622597694396973,131072,3.046620348468423,3.4622597694396973,-0.0,0.0021960000012768432
141353,-77.44643087,236,0.03915802389383316,94,916.77,1496,0.2619584013009444,8.025295674800873,0.00073,-0.010589975398033857,8.242416381835938,0.19073688983917236,3.108782295137644,3.146357774734497,131328,3.108782295137644,3.146357774734497,-0.0,0.0021437693139887415
142405,-77.27587704,240,0.03914816677570343,94,908.39,1508,0.2685378686292097,7.964610725641251,0.00073,0.2831820745486766,7.866864204406738,0.46534571051597595,3.2103879880160093,3.2603096961975098,132416,3.2103879880160093,3.2603096961975098,-0.0,0.0022974904932198115
147335,-75.87796843999999,244,0.03886518254876137,94,935.77,1563,0.28762103599729016,6.9527928456664085,0.00073,-0.023138547549024224,7.472054481506348,0.07955124974250793,2.9746467396616936,3.2925572395324707,137344,2.9746467396616936,3.2925572395324707,-0.0,0.0021364109197747894
150114,-77.00888645,248,0.03876195847988129,94,899.56,1595,0.20635710656642914,7.067650564014912,0.00073,1.3204026957973838,7.005388259887695,0.2126455307006836,3.0561113599687815,2.3489508628845215,140096,3.0561113599687815,2.3489508628845215,-0.0,0.0022833534312667325
155709,-74.08654580999999,252,0.0384615957736969,93,922.87,1657,0.17076164641184732,7.148882880806923,0.00073,0.48142320197075605,7.079402446746826,0.19127759337425232,2.8429086711257696,3.145582675933838,145664,2.8429086711257696,3.145582675933838,-0.0,0.002152551711333217
161199,-69.35547193000001,256,0.03869893029332161,93,924.83,1719,0.19243268889840692,6.967078290879726,0.00073,-0.2667371353600174,6.593823432922363,0.1209762841463089,2.7200673427432775,1.7904304265975952,151168,2.7200673427432775,1.7904304265975952,-0.0,0.002298671770404326
167063,-64.98937827,260,0.03861677274107933,93,930.88,1786,0.15436428901739419,6.297955617308617,0.00073,-0.44268784020096064,6.161707401275635,0.33409979939460754,2.344578329473734,3.045630931854248,157056,2.344578329473734,3.045630931854248,-0.0,0.0024148894008249044
171081,-61.68294115,264,0.0385260209441185,93,920.61,1833,0.15598660905379802,6.368308074772358,0.00073,-0.9699720130302012,6.273918628692627,0.07959859073162079,2.3366721011698246,1.2928816080093384,161088,2.3366721011698246,1.2928816080093384,-0.0,0.002383384246058995
175893,-56.9201674,268,0.038501981645822525,93,934.19,1887,0.15729085792554542,6.132238298654556,0.00073,-1.128465584013611,6.3502278327941895,0.1055932268500328,1.9989942810498178,1.3487932682037354,165888,1.9989942810498178,1.3487932682037354,-0.0,0.002563257214205805
180340,-53.99041660999999,272,0.0385378897190094,93,929.02,1938,0.15182812680723146,6.122074611485004,0.00073,-0.01596318674273789,6.21523904800415,0.14774204790592194,2.005888456478715,1.9364701509475708,170304,2.005888456478715,1.9364701509475708,-0.0,0.0024890809327189345
186740,-46.754112669999984,276,0.038645125925540924,92,929.02,2008,0.12554093141807243,5.946904316544533,0.00073,0.11914292513392866,5.6873555183410645,0.18999317288398743,1.8485128665342927,1.7572717666625977,176704,1.8485128665342927,1.7572717666625977,-0.0,0.002653505689522717
193140,-39.131908079999995,280,0.038819145411252975,92,955.82,2078,0.16627918899757788,5.654804840683937,0.00073,-1.4002406764775515,5.352218151092529,0.20857614278793335,1.4625764859374613,0.19409924745559692,183104,1.4625764859374613,0.19409924745559692,-0.0,0.0034369095737929456
