time/episodes,train/std,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/RL_loss,train/critic_loss,train/MSE_loss,train/Main_losses,train/critic_los,train/actor_loss,train/ent_coef,train/loss,train/MSE_losses,train/ent_coef_loss,train/Beta,train/learning_rate
4,0.04978706315159798,2061,1809,-100.5138855,0,452.25,,,,,,,,,,,,,
8,0.04978706315159798,2092,8209,-92.24896212499999,3,1026.125,,,,,,,,,,,,,
12,0.04978706315159798,2090,9990,-94.23430224999998,4,832.5,,,,,,,,,,,,,
16,0.049940384924411774,1227,10357,-98.8729955625,8,647.3125,320,-9.424293518066406,7.7650523178162985,8.816751480102539,-7.8434242978692055,41.54730224609375,-7.8434242978692055,0.7972467243671417,-9.424293518066406,8.080536760389805,-1.4487095344811678,0.0,0.00073
20,0.05002631992101669,675,11068,-103.12963995,16,553.4,1024,-20.86920738220215,8.79697729437612,7.143335819244385,-21.10062140226364,44.57844924926758,-21.10062140226364,0.472216778434813,-20.86920738220215,8.294697433710098,-4.854117561131716,0.0,0.00073
24,0.050039272755384445,470,11782,-107.66807095833333,25,490.9166666666667,1792,-22.334095001220703,2.577144116163254,7.377069473266602,-24.573592364788055,6.700080394744873,-24.573592364788055,0.2697768360376358,-22.334095001220703,8.637634500861168,-8.432367645204067,0.0,0.00073
28,0.04986951872706413,337,13055,-110.15486725000001,38,466.25,3008,-18.308624267578125,1.652267792262137,9.104812622070312,-20.907703459262848,3.109395980834961,-20.907703459262848,0.11406587157398462,-18.308624267578125,8.908917032182217,-12.793484032154083,0.0,0.00073
32,0.049766864627599716,311,13395,-109.87806321874999,43,418.59375,3392,-19.1506290435791,1.792013585800305,8.064766883850098,-19.389640003442764,0.4578896164894104,-19.389640003442764,0.08830819872673601,-19.1506290435791,8.565669037401676,-13.344585940241814,0.0,0.00073
36,0.04964370280504227,288,13881,-109.38208908333333,48,385.5833333333333,3840,-17.390939712524414,3.4204758373089135,8.015491485595703,-17.2710400223732,1.1117544174194336,-17.2710400223732,0.06662688869982958,-17.390939712524414,8.642355769872665,-13.164297454059124,0.0,0.00073
40,0.049491338431835175,264,14423,-110.29414997499998,54,360.575,4416,-15.864410400390625,2.7168912114575505,10.044265747070312,-15.361788392066956,1.1257414817810059,-15.361788392066956,0.04794202436460182,-15.864410400390625,9.298955895006657,-11.091591268777847,0.0,0.00073
44,0.04941162094473839,253,14734,-110.42890390909089,58,334.8636363636364,4736,-13.27168083190918,2.5618877676315606,7.620998382568359,-13.727659687399864,0.40447574853897095,-13.727659687399864,0.04001189098926261,-13.27168083190918,8.840039037168026,-12.82840108498931,0.0,0.00073
48,0.04891686886548996,211,16570,-112.93273189583333,78,345.2083333333333,6528,-6.069842338562012,0.8566608468536288,9.894105911254883,-6.194274909794331,0.2449740469455719,-6.194274909794331,0.012585113014210947,-6.069842338562012,9.116972215473652,-14.870928049087524,0.0,0.00073
52,0.04844006523489952,186,18343,-111.98420003846152,98,352.75,8320,-1.678227424621582,0.9355358838802204,6.8318400382995605,-1.8373922472819686,0.5502759218215942,-1.8373922472819686,0.004803310759598389,-1.678227424621582,8.260426186025143,-11.30623696371913,0.0,0.00073
56,0.04739502817392349,154,22527,-111.2708039642857,145,402.26785714285717,12480,1.3644447326660156,0.46783000987488776,9.05246353149414,1.1651743412949145,0.6045321822166443,1.1651743412949145,0.0019279590487712994,1.3644447326660156,9.02144742012024,0.8910371982492507,0.0,0.00073
60,0.046209655702114105,137,26765,-112.86498246666665,194,446.0833333333333,16768,2.9406368732452393,0.44708331750007346,7.915700912475586,2.168716272339225,0.1684189736843109,2.168716272339225,0.0012055252518621273,2.9406368732452393,8.61977656185627,-2.642949126078747,0.0,0.00073
64,0.04546578228473663,132,29004,-114.46297328125,219,453.1875,19008,3.1091647148132324,0.40104818576946855,8.174036026000977,2.4134097453206778,0.42391300201416016,2.4134097453206778,0.0012562659485411132,3.1091647148132324,8.615822173655033,-2.726504699094221,0.0,0.00073
68,0.045048706233501434,129,30208,-114.95626338235294,232,444.2352941176471,20160,2.9212393760681152,0.7538797479937784,9.100943565368652,2.5691287331283092,0.31178703904151917,2.5691287331283092,0.0012759384226228576,2.9212393760681152,8.820428028702736,1.5429425665643066,0.0,0.00073
72,0.04496266320347786,129,30477,-114.42390245833333,235,423.2916666666667,20480,2.4472551345825195,0.5242283858824521,8.780725479125977,2.9065011460334063,0.14625748991966248,2.9065011460334063,0.0012988053749722894,2.4472551345825195,9.363628327846527,1.5773836858570576,0.0,0.00073
76,0.04493622109293938,128,30696,-113.78997540789473,238,403.89473684210526,20672,3.190582752227783,0.683638674672693,9.87475299835205,3.1719393599778414,0.6399909257888794,3.1719393599778414,0.0013261817821330624,3.190582752227783,9.511590227484703,-0.9409610598813742,0.0,0.00073
80,0.04483455792069435,128,31049,-113.54043218749999,242,388.1125,21056,3.1986963748931885,0.7468587132170796,8.703843116760254,3.520666316151619,0.19495858252048492,3.520666316151619,0.0012905404564662604,3.1986963748931885,8.860386535525322,-0.9758612790610641,0.0,0.00073
84,0.044720813632011414,127,31359,-113.05113704761904,245,373.32142857142856,21312,4.120659351348877,0.7159860812826082,9.403421401977539,3.823860939592123,0.3316609859466553,3.823860939592123,0.0012786226507159881,4.120659351348877,8.890436992049217,0.16491720033809543,0.0,0.00073
88,0.04386438801884651,122,34784,-112.60899785227271,284,395.27272727272725,24768,5.35331916809082,0.5285784169100225,9.047595977783203,3.3479136750102043,0.33508509397506714,3.3479136750102043,0.0021644454427587334,5.35331916809082,9.316038131713867,-0.39983841485809535,0.0,0.00073
92,0.04313739389181137,118,38140,-111.60363498913041,322,414.5652173913044,28096,3.455687999725342,0.47249561292119324,9.456026077270508,2.414109505712986,0.33195412158966064,2.414109505712986,0.0023545399781141896,3.455687999725342,9.31557796895504,1.5785757906269282,0.0,0.00073
