time/total_timesteps,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/Beta,train/critic_los,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/RL_loss,train/loss
1839,4,0,459.75,2022,-99.5966875,,,,,,,,,,,
2140,8,1,267.5,1944,-100.56289025,,,,,,,,,,,
3956,12,1,329.6666666666667,1988,-101.3431875,,,,,,,,,,,
5777,16,3,361.0625,1918,-101.93339575,,,,,,,,,,,
9091,20,4,454.55,1947,-101.21132185,,,,,,,,,,,
12392,24,16,516.3333333333334,759,-101.01992095833333,0.956,2.6521573066711426,1.4574288286041701,0.001,1600,14.503832484244485,8.237415313720703,7.783313242122531,8.898276055455208,2.166755437850952,10.04172420501709
15374,28,42,549.0714285714286,364,-100.78450378571428,0.948,0.07580937445163727,2.762924864734571,0.001,5676,0.8612923405286808,7.402198314666748,7.090722881334344,9.484930267039033,2.6409435272216797,9.658227920532227
17392,32,57,543.5,303,-98.59704915625,0.94,0.09744812548160553,3.7871421082814534,0.001,8019,1.587643891721964,2.3351476192474365,6.571559915542602,9.964408410390218,4.189975261688232,6.385014057159424
19408,36,70,539.1111111111111,273,-97.46422169444445,0.932,0.16401761770248413,4.318830403875797,0.001,10069,0.874445886767291,8.007987976074219,6.351194376641131,10.238143373042979,3.6225807666778564,11.08602523803711
21580,40,76,539.5,280,-96.49544655,0.924,0.1734725534915924,4.699428178826157,0.001,10788,1.4515490600282384,7.484309673309326,6.783697999253565,10.967565244557907,4.192072868347168,11.107575416564941
22869,44,92,519.75,246,-96.78734038636362,0.916,2.8814470767974854,5.036621622741222,0.001,13394,1.8778923491793356,6.9947509765625,6.1708485540002584,10.68911886960268,4.3080549240112305,10.715246200561523
25650,48,110,534.375,231,-95.64534352083335,0.908,0.15376488864421844,4.912816286087036,0.001,16123,0.6596016283298648,8.452210426330566,6.1081520578135615,10.459018310404712,3.9871232509613037,11.66172981262207
29387,52,128,565.1346153846154,228,-92.88357694230771,0.9,0.9841141700744629,5.168005001986468,0.001,18595,0.8898213402540596,1.8167601823806763,6.268030186052676,10.809232040687844,6.026801586151123,7.661885738372803
34103,56,159,608.9821428571429,213,-90.70470912500001,0.892,0.2666962444782257,5.447723453342914,0.001,23311,0.44627831272780893,6.461138725280762,5.563969535678625,10.410784398317338,5.419301509857178,11.182637214660645
35120,60,174,585.3333333333334,201,-90.25568333333334,0.884,1.1896274089813232,5.442804363511858,0.001,25727,0.41333525258638737,5.632143497467041,5.317389362624714,10.143376608689627,4.553111553192139,9.531927108764648
37461,64,181,585.328125,206,-88.870700546875,0.876,0.8466141819953918,5.401045988003413,0.001,26669,0.5044778747350734,2.0296847820281982,5.410083896583981,10.140279399024116,4.902547359466553,6.680551052093506
39833,68,204,585.7794117647059,194,-87.01582448529412,0.868,0.9805909395217896,4.831473643129522,0.001,30379,0.2895613609624088,6.6128997802734375,5.36103877696124,9.484855131669478,4.5969767570495605,10.336973190307617
43871,72,224,609.3194444444445,195,-83.25201644444445,0.86,0.642653226852417,5.054094816843668,0.001,33199,0.3699023031526142,2.2873358726501465,5.588898345629374,9.86054745780097,4.465640544891357,6.432749271392822
49089,76,258,645.9078947368421,190,-70.51336959210526,0.852,0.21246446669101715,4.763329023446385,0.001,38297,0.37936032085646065,8.159857749938965,5.2147934854343765,9.206333081484258,7.876137733459473,14.828336715698242
54476,80,294,680.95,184,-60.020600425,0.844,0.3317665755748749,3.725461491025411,0.001,43863,0.37942311500577186,5.559417724609375,5.207665537794431,8.120731122218645,6.091619968414307,10.783768653869629
57776,84,323,687.8095238095239,178,-53.11001448809524,0.836,0.4084162712097168,2.884850488403536,0.001,48428,0.5129101601990356,5.973994731903076,5.167018140674731,7.204477800141781,1.968640685081482,6.962900638580322
63616,88,353,722.9090909090909,179,-37.37299801136363,0.828,0.45916426181793213,1.8632985685549543,0.001,52824,0.5027442383446864,5.0068864822387695,4.998637334108353,6.0021703158957616,1.671448826789856,5.817150592803955
