time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/Beta,train/Main_losses,train/MSE_loss,train/critic_loss,train/MSE_losses,train/learning_rate,train/actor_loss,train/loss,train/critic_los,train/n_updates,train/RL_loss
1888,4,108.75,-103.03420349999999,0,435,,,,,,,,,,,
1991,8,476.0,-102.07304925,1,3808,,,,,,,,,,,
1964,12,470.8333333333333,-101.98173466666668,2,5650,,,,,,,,,,,
1900,16,656.3125,-97.760403625,5,10501,,,,,,,,,,,
390,20,786.6,-72.2919201,40,15732,0.964,8.262544253766537,10.583627700805664,0.968306714828359,7.421169393062591,0.001,1.108537054657936,11.456908226013184,0.1994759738445282,5231,1.2542917728424072
310,24,677.2083333333334,-75.791619375,52,16253,0.956,8.7055025100708,8.219941139221191,3.1535383089976285,7.5144035246061245,0.001,1.5217329678328142,9.401958465576172,0.1508491039276123,7213,1.543695330619812
277,28,650.8571428571429,-75.40527846428571,65,18224,0.948,7.573022995676313,8.720269203186035,2.407101681204975,6.421975799969265,0.001,1.4849898661885943,9.411236763000488,0.12625929713249207,9213,1.144421935081482
269,32,591.65625,-78.82254171874999,70,18933,0.94,7.653700612254979,6.694334506988525,2.536553727800673,6.121163846291218,0.001,1.8998065695320208,8.946921348571777,19.522506713867188,9906,2.6542468070983887
262,36,541.8611111111111,-80.890825,74,19507,0.932,8.429337636782574,4.8499321937561035,14.237020713047706,6.378739394820654,0.001,2.4843526860842338,6.407120227813721,3.32346773147583,10482,1.8869832754135132
257,40,500.875,-82.128108675,77,20035,0.924,9.10747563397443,5.640721797943115,24.916261225248928,6.694827446231136,0.001,2.921454961653109,8.038902282714844,5.485223293304443,10989,2.8268754482269287
252,44,469.34090909090907,-83.3251914090909,81,20651,0.916,7.870701267169072,4.394922256469727,3.44600471436016,5.480933973422418,0.001,2.850165694187849,7.387972831726074,0.3911527395248413,11608,3.3622241020202637
237,48,472.8541666666667,-81.65516770833334,95,22697,0.908,7.737597320390784,8.599283218383789,1.5318499900724576,5.759649344112562,0.001,2.5078357820925503,9.051600456237793,0.2972269654273987,13647,1.2434515953063965
243,52,482.53846153846155,-81.90049078846154,103,25092,0.9,8.58184335572379,9.678759574890137,0.8066028040562961,6.33640341758728,0.001,2.8790804658617293,10.015329360961914,0.13797101378440857,14591,1.3044466972351074
222,56,461.3392857142857,-82.54168330357142,115,25835,0.892,8.162970393896103,2.421591281890869,0.8150967175394974,5.7603859088637615,0.001,3.0247060778466137,4.83648157119751,0.3078126609325409,16686,2.676422119140625
219,60,440.35,-83.01491611666665,120,26421,0.884,9.63019144301321,6.727877140045166,0.7312228030497485,7.384660197239296,0.001,3.102151819303924,9.945751190185547,0.2795041799545288,17382,3.998307466506958
221,64,439.5625,-84.20646546875,126,28132,0.876,8.886108513119854,11.595593452453613,0.6844277947763854,6.053376443778412,0.001,3.5833507821529724,13.442270278930664,0.7737627029418945,18209,3.2845306396484375
210,68,428.1617647058824,-84.76959586764707,138,29115,0.868,8.575257703482386,9.80828857421875,0.719576742116249,5.593926178403647,0.001,3.719729906105133,14.603120803833008,0.2959741950035095,20066,6.089526653289795
202,72,458.94444444444446,-74.67834195833332,163,33044,0.86,8.357624860405922,2.365058660507202,0.6474653799599036,5.64795942723751,0.001,3.500379684343934,5.0468926429748535,0.9347913861274719,23770,3.01294207572937
197,76,458.67105263157896,-72.36882926315788,176,34859,0.852,8.47816066308455,4.700615406036377,0.683577097105709,5.692045138640837,0.001,3.62853825498711,7.621013641357422,0.6305016279220581,25791,3.616089344024658
192,80,467.3,-70.2081757375,193,37384,0.844,8.224528250098228,4.0612006187438965,0.5204622818809003,5.593826267272234,0.001,3.503338990570046,6.6590423583984375,0.3903355896472931,28385,3.231389045715332
190,84,471.5595238095238,-66.80814863095237,208,39611,0.836,8.102250601564135,2.146772623062134,0.5313927223071403,5.513369069780622,0.001,3.493073909836156,5.662532806396484,0.5808954238891602,30490,3.867830753326416
