time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/MSE_losses,train/critic_los,train/RL_loss,train/loss,train/Main_losses,train/learning_rate,train/Beta,train/MSE_loss,train/critic_loss,train/actor_loss,train/n_updates
4,1999,1,-97.884888,3386,846.5,,,,,,,,,,,
8,1991,2,-97.91113099999998,5172,646.5,,,,,,,,,,,
12,1985,3,-99.64128466666665,6980,581.6666666666666,,,,,,,,,,,
16,1989,4,-98.9650076875,8844,552.75,,,,,,,,,,,
20,724,14,-98.74977584999999,10733,536.65,8.326489735096693,6.0324249267578125,0.4003547430038452,7.986586570739746,8.282648923993111,0.001,0.964,7.869534969329834,13.257731348588713,0.25591293212881283,1600
24,630,17,-100.96024545833335,11175,465.625,8.373907960378206,0.149452805519104,0.21080821752548218,2.4248058795928955,8.442765501829294,0.001,0.956,2.315897226333618,1.7140100730869632,0.43730976805090904,2034
28,607,21,-101.96706160714288,13002,464.35714285714283,9.355108405268469,0.6949107050895691,1.3318299055099487,5.012526035308838,9.85231661242108,0.001,0.948,3.8825907707214355,4.536254651581539,0.9836737371461336,2410
32,353,48,-87.885734875,17121,535.03125,6.970742588917885,0.22844374179840088,3.35982346534729,7.751574516296387,8.227674046211694,0.001,0.94,4.672075271606445,1.3583059338976573,1.6751760471854689,6529
36,272,70,-82.7863888888889,19250,534.7222222222222,6.8399273978339306,0.2506396770477295,1.744450330734253,7.561895370483398,8.140371863047282,0.001,0.932,6.241894245147705,1.1244964917914735,1.7655596494674684,10083
40,265,74,-83.88821685,19819,495.475,5.947827001835438,0.29985982179641724,1.2292182445526123,3.5384438037872314,7.4286739597929285,0.001,0.924,2.499161720275879,1.8705158666806652,1.932881678038455,10698
44,249,88,-83.59287627272728,22136,503.09090909090907,6.240911881923676,0.28658419847488403,2.281705379486084,7.645329475402832,7.900803829729557,0.001,0.916,5.855484962463379,0.6679704014398158,2.1841285054385664,12795
48,242,94,-84.462974125,23042,480.0416666666667,6.100229036660842,0.2921970784664154,4.30780029296875,13.581707000732422,8.385157176005988,0.001,0.908,10.213553428649902,0.6299536685395685,2.8461493062384333,13732
52,236,99,-85.4981586346154,23622,454.2692307692308,5.884846994217406,2.1853232383728027,4.383876323699951,9.762716293334961,8.570625619685396,0.001,0.9,5.976489543914795,0.47709876959416886,3.2742634614308677,14530
56,231,106,-86.89300735714285,24646,440.10714285714283,6.644886607215518,0.8877169489860535,1.7095686197280884,3.643817663192749,9.565552034075298,0.001,0.892,2.168440580368042,0.6923728054902685,3.6383130644995068,15541
60,228,109,-88.01734066666664,25149,419.15,6.708003584440652,0.6470054388046265,3.856748580932617,12.108356475830078,9.805369946863744,0.001,0.884,9.33439826965332,0.7189682493736218,3.8754947293888438,16050
64,226,113,-88.58920934375,25623,400.359375,5.675283317382519,0.4931371212005615,3.8522789478302,11.7850980758667,9.771321076613207,0.001,0.876,9.055729866027832,1.0969321333522934,4.799772913639362,16524
68,224,116,-88.93425433823529,26207,385.3970588235294,5.777763660464968,0.281569242477417,3.369168996810913,11.622594833374023,9.729105634348732,0.001,0.868,9.50855541229248,0.6941401534048575,4.714006885886192,17050
72,221,121,-88.72717736111112,26928,374.0,6.1232575229656545,0.29040026664733887,5.865121841430664,13.868339538574219,10.086061209808161,0.001,0.86,9.30606746673584,0.5573528687711116,4.820059674757498,17805
76,219,125,-88.85741532894738,27489,361.69736842105266,6.284733755001123,0.9434984922409058,4.088961601257324,8.190967559814453,10.66920204439025,0.001,0.852,4.814560890197754,0.6469681489186875,5.314608874528305,18382
80,214,139,-84.79902065,29779,372.2375,5.908776971846819,0.5267797708511353,6.851876735687256,9.67000675201416,10.198493204414845,0.001,0.844,3.3390166759490967,0.650846272460185,5.211485555171967,20393
84,203,162,-79.86816778571429,33184,395.04761904761904,5.4733780011559485,0.43304669857025146,4.028813362121582,7.0194501876831055,9.764536278815118,0.001,0.836,3.5773162841796875,0.6819773053600208,5.188792135820611,24057
88,201,169,-80.21967017045455,34153,388.10227272727275,5.8307115085746934,0.23441199958324432,2.188127279281616,4.562695503234863,10.443086152491363,0.001,0.828,2.8678362369537354,0.6467417202404012,5.6152569612731105,25054
92,200,173,-80.73492617391304,34810,378.3695652173913,5.9384622557957965,0.7424095869064331,7.266297340393066,10.220206260681152,10.175730040868123,0.001,0.82,3.602327585220337,0.7021744309862454,5.306191007296245,25656
96,201,188,-75.17868660416666,37947,395.28125,5.453875094147052,0.27762240171432495,6.998417854309082,11.07020378112793,10.00188825494152,0.001,0.812,5.014514446258545,0.7540097962117801,5.57334180656126,27769
100,200,201,-71.71930391,40409,404.09,5.410585654278596,0.5621097087860107,4.959897041320801,7.124688148498535,9.798148829489946,0.001,0.804,2.6925265789031982,0.7223925596335903,5.448037875816226,29817
104,191,242,-56.09507659,46476,430.9,5.138307844337664,0.15668021142482758,0.3530798554420471,2.3560140132904053,7.336434775451471,0.001,0.796,2.516248941421509,0.6538576134742833,3.246341711560527,35978
108,186,281,-41.33420031000001,52648,474.76,5.188077642470598,0.5387881994247437,2.957210063934326,10.907379150390625,5.212763524465263,0.001,0.788,10.0890474319458,0.47959389971103517,1.1245584066207448,42056
