time/episodes,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/Main_losses,train/MSE_loss,train/MSE_losses,train/RL_loss,train/actor_loss,train/critic_los,train/n_updates,train/learning_rate,train/loss,train/critic_loss,train/Beta
4,0,1841,290,72.5,-108.651439,,,,,,,,,,,
8,1,1969,2191,273.875,-104.29980400000001,,,,,,,,,,,
12,4,2010,8591,715.9166666666666,-97.67722375000001,,,,,,,,,,,
16,4,2007,8897,556.0625,-100.34958231249999,,,,,,,,,,,
20,24,497,12206,610.3,-99.90621885,-0.5542143027391284,8.525843620300293,8.85794534444809,-0.7298502922058105,-0.5542143027391284,0.04504607617855072,3200,0.001,-0.7298502922058105,1.287809726211708,0.0
24,26,473,12558,523.25,-102.19450549999999,-0.47662099731750174,10.927107810974121,9.36777521352299,0.31414085626602173,-0.47662099731750174,0.1438513696193695,3511,0.001,0.31414085626602173,5.959684964544216,0.0
28,28,450,12829,458.17857142857144,-104.24426985714285,-0.19738509593641057,9.405112266540527,8.7840094426099,0.4409258961677551,-0.19738509593641057,2.961024284362793,3820,0.001,0.4409258961677551,7.31039014525378,0.0
32,51,347,17786,555.8125,-107.433281375,-0.08331968926708214,9.461896896362305,9.564306674003602,0.4946942925453186,-0.08331968926708214,3.840135097503662,7218,0.001,0.4946942925453186,3.3164366556564344,0.0
36,71,274,19704,547.3333333333334,-106.74804011111114,-0.22404353072245917,8.336465835571289,8.4680432955424,-0.1716797649860382,-0.22404353072245917,0.6318221092224121,10643,0.001,-0.1716797649860382,1.090167200711907,0.0
40,86,254,21955,548.875,-107.63232505,0.14328297798485437,9.139374732971191,8.359816352725028,0.4420550763607025,0.14328297798485437,1.7824454307556152,12929,0.001,0.4420550763607025,1.8441161021124572,0.0
44,87,253,22201,504.5681818181818,-107.06104600000002,0.09630132406292592,8.728093147277832,8.781704425811768,0.6190832257270813,0.09630132406292592,1.845697283744812,13159,0.001,0.6190832257270813,1.7884154161986183,0.0
48,95,245,23445,488.4375,-108.55427587499999,0.14449176974594594,9.173130989074707,8.527923374176025,0.3847354054450989,0.14449176974594594,0.5242634415626526,14394,0.001,0.3847354054450989,2.8698402887582777,0.0
52,97,243,23705,455.86538461538464,-108.29457755769229,0.17356099294228178,9.244584083557129,8.796340834709905,-0.3360026180744171,0.17356099294228178,0.27869051694869995,14677,0.001,-0.3360026180744171,1.6206721337068648,0.0
56,98,242,23930,427.32142857142856,-108.03402541071429,0.6785575654357672,8.332758903503418,8.885414481163025,0.2161165177822113,0.6785575654357672,0.6846213936805725,14894,0.001,0.2161165177822113,2.1774027629735624,0.0
60,100,241,24178,402.96666666666664,-107.91736745,0.6557491092154613,8.394218444824219,8.695632622792171,0.7759112119674683,0.6557491092154613,119.30911254882812,15157,0.001,0.7759112119674683,5.934205224880805,0.0
64,101,239,24400,381.25,-107.671216109375,0.6495211245492101,7.33314323425293,8.285920549322057,-0.014391460455954075,0.6495211245492101,2.8959293365478516,15379,0.001,-0.014391460455954075,3.3119775620373813,0.0
68,103,238,24750,363.97058823529414,-107.67236001470587,1.06889811799758,8.222829818725586,8.215827959555167,0.5608168244361877,1.06889811799758,9.65105152130127,15705,0.001,0.5608168244361877,4.207133181669094,0.0
72,105,237,25142,349.19444444444446,-107.940982375,1.0021497587624348,7.977881908416748,8.05760353489926,2.1404521465301514,1.0021497587624348,1.9602652788162231,16035,0.001,2.1404521465301514,4.483460907832436,0.0
76,109,234,25560,336.3157894736842,-107.8030957105263,1.3866829207668512,8.341277122497559,8.35794500204233,0.503452718257904,1.3866829207668512,1.221435546875,16537,0.001,0.503452718257904,3.2881073659429183,0.0
80,111,233,26025,325.3125,-108.73729675,1.5292299137683585,7.935172080993652,8.17302393913269,0.3218613862991333,1.5292299137683585,0.2488524317741394,16914,0.001,0.3218613862991333,3.3349752312748686,0.0
84,113,232,26479,315.2261904761905,-108.65913220238092,1.6234600612962689,8.782470703125,8.327477525781703,2.4529926776885986,1.6234600612962689,0.9855929017066956,17240,0.001,2.4529926776885986,2.537208225929512,0.0
88,133,220,29380,333.8636363636364,-108.7837192159091,2.324044878925442,8.959359169006348,9.104301509104276,5.207545280456543,2.324044878925442,1.2461085319519043,20348,0.001,5.207545280456543,1.1170660942200794,0.0
92,136,219,29937,325.4021739130435,-109.81311744565218,2.79425992613489,9.860880851745605,9.067483013326472,2.051656484603882,2.79425992613489,0.9400269985198975,20817,0.001,2.051656484603882,1.2647417341725211,0.0
96,138,217,30257,315.1770833333333,-110.1014860625,2.7515158222640976,8.434020042419434,8.823297718823966,2.718540668487549,2.7515158222640976,0.5999972820281982,21217,0.001,2.718540668487549,1.2169291454703868,0.0
100,141,216,30737,307.37,-110.66193367000001,3.289773584653934,9.048171043395996,8.941238780816397,2.837181329727173,3.289773584653934,1.8072398900985718,21648,0.001,2.837181329727173,1.3725211362664897,0.0
104,145,215,31282,309.92,-110.87722341,2.6903074383735657,8.669185638427734,8.832802821849954,3.487210512161255,2.6903074383735657,1.7897019386291504,22214,0.001,3.487210512161255,1.6449094157794426,0.0
108,147,214,31618,294.27,-111.17419296,3.7774346815912345,8.440520286560059,8.637563040381984,5.6533403396606445,3.7774346815912345,1.518693447113037,22574,0.001,5.6533403396606445,1.5149764300961244,0.0
112,159,209,33410,248.19,-112.14992744999999,4.831299958405672,9.49418830871582,9.005118052164713,6.014772891998291,4.831299958405672,0.5309702157974243,24381,0.001,6.014772891998291,1.3003751613475658,0.0
116,181,210,38325,294.28,-112.65056603000001,4.64792898952961,9.670919418334961,8.394859729409218,4.03670072555542,4.64792898952961,1.1157019138336182,27757,0.001,4.03670072555542,2.0222954500094055,0.0
120,222,200,44725,325.19,-114.02492080999998,4.120121391415596,7.917399883270264,7.927982455492019,3.816880941390991,4.120121391415596,0.8786994218826294,34157,0.001,3.816880941390991,1.6225633997470141,0.0
124,262,189,49585,370.27,-114.22872979000002,3.0482522179727676,7.544350624084473,7.252921042442321,2.5261125564575195,3.0482522179727676,0.7509483695030212,40557,0.001,2.5261125564575195,1.1002638968452811,0.0
128,274,187,51579,387.5,-114.60902391999998,3.194014135207981,8.259600639343262,7.690321334600449,3.1496434211730957,3.194014135207981,0.5958675742149353,42564,0.001,3.1496434211730957,1.8383858471829444,0.0
132,279,191,53635,358.49,-113.36630841999998,3.8389545000832657,7.716572284698486,7.491364742147511,4.881738662719727,3.8389545000832657,1.6234068870544434,43067,0.001,4.881738662719727,4.060797493005621,0.0
136,304,189,57658,379.54,-113.79166718,3.823411372383084,6.967051982879639,7.017003394861137,2.5589001178741455,3.823411372383084,0.8177855014801025,47090,0.001,2.5589001178741455,1.7960284116916951,0.0
140,345,185,64058,421.03,-112.39505428999999,3.9965925208479165,7.723935604095459,6.58285059273243,3.3794219493865967,3.9965925208479165,0.557081937789917,53490,0.001,3.3794219493865967,1.509912672387436,0.0
144,374,183,68549,463.48,-111.52072772999998,4.267988664439962,6.458772659301758,6.538586163822608,6.86602258682251,4.267988664439962,0.33135437965393066,57981,0.001,6.86602258682251,1.8603981423981582,0.0
148,399,178,71260,478.15,-111.29513988999999,4.1832201895506484,6.339293003082275,6.181695405000485,2.9223666191101074,4.1832201895506484,0.6542057394981384,62141,0.001,2.9223666191101074,1.345844100350919,0.0
152,420,180,75841,521.36,-111.49847702999999,4.590623675882816,6.294126033782959,6.194276071786881,2.673102378845215,4.590623675882816,0.6920204162597656,65273,0.001,2.673102378845215,1.0886671397089958,0.0
156,460,178,82241,583.11,-111.06262147,4.673544458895922,6.698559284210205,6.0007813918590545,8.27078628540039,4.673544458895922,0.852702260017395,71673,0.001,8.27078628540039,1.3318065169174225,0.0
160,482,174,84386,602.08,-110.43402876,4.667479032423438,7.036401271820068,6.219110302808808,8.016242027282715,4.667479032423438,0.2508080005645752,75365,0.001,8.016242027282715,2.331641153591435,0.0
164,504,176,89251,648.51,-109.93875616,4.795044906437397,6.5996623039245605,6.030030161142349,2.0222911834716797,4.795044906437397,0.3386467695236206,78683,0.001,2.0222911834716797,1.1904457080822723,0.0
168,533,175,93552,688.02,-111.28738598,4.613716239929199,5.526576995849609,5.730155863232083,3.17172908782959,4.613716239929199,1.1959463357925415,83139,0.001,3.17172908782959,0.7945021040406492,0.0
172,563,172,97395,722.53,-109.83241129999999,4.708111826181412,6.248599529266357,5.958221566081047,4.951849460601807,4.708111826181412,0.6824923157691956,88136,0.001,4.951849460601807,1.3764431038778275,0.0
176,591,171,101794,762.34,-109.48874525000001,4.569439798742533,5.909499168395996,5.9130207526683805,8.535122871398926,4.569439798742533,1.2355097532272339,92560,0.001,8.535122871398926,1.0958840371202678,0.0
180,625,173,108194,821.69,-107.0955034,4.573937431573868,5.312668800354004,5.73694759786129,4.9710845947265625,4.573937431573868,0.814296305179596,97626,0.001,4.9710845947265625,1.1993316750228404,0.0
184,665,172,114594,881.15,-103.75762437000002,4.316131048947573,6.106123924255371,5.647256882786751,5.044669151306152,4.316131048947573,0.6870564222335815,104026,0.001,5.044669151306152,0.7700195225095376,0.0
188,704,171,120696,913.16,-99.25211797,4.182718463540077,5.836863994598389,5.492761273384094,3.2182438373565674,4.182718463540077,0.4705290198326111,110128,0.001,3.2182438373565674,1.0367538250237702,0.0
192,743,169,125914,959.77,-95.10406331,3.9971066527068615,5.229345798492432,4.927817628085613,2.3145265579223633,3.9971066527068615,0.767228364944458,116528,0.001,2.3145265579223633,1.061199524588883,0.0
196,772,170,131451,1011.94,-90.85810269000001,3.797720668501541,4.651843547821045,4.849330332924108,6.257565021514893,3.797720668501541,0.6058306097984314,120883,0.001,6.257565021514893,0.9436853975591968,0.0
200,812,169,137851,1071.14,-83.00698243000001,3.5320735067129134,4.224355220794678,4.913497993648052,3.376648426055908,3.5320735067129134,0.37988799810409546,127283,0.001,3.376648426055908,0.6259256517887115,0.0
204,853,169,144251,1129.69,-75.53565725,3.2916089436411857,4.574192523956299,4.694155116081237,1.6923186779022217,3.2916089436411857,0.8416509032249451,133683,0.001,1.6923186779022217,0.5944159688102082,0.0
208,886,167,148925,1173.07,-68.95622943000001,2.8652760116635143,4.314103126525879,4.783422213148427,2.196791887283325,2.8652760116635143,1.1033048629760742,139075,0.001,2.196791887283325,0.5870196237102956,0.0
212,918,168,154601,1211.91,-59.418107610000014,2.6465119786866724,4.366825580596924,4.579290852699105,4.362339496612549,2.6465119786866724,1.0299445390701294,144033,0.001,4.362339496612549,0.6667890802502088,0.0
216,940,167,157731,1194.06,-54.51715018000001,2.372631654498123,4.440581798553467,4.450719864595504,2.8740487098693848,2.372631654498123,0.4724322557449341,147575,0.001,2.8740487098693848,0.622462738349679,0.0
220,961,166,160118,1153.93,-49.05859552,1.809960124338721,4.507513523101807,4.671579127783303,2.7017290592193604,1.809960124338721,0.6874041557312012,151034,0.001,2.7017290592193604,1.1206665068946697,0.0
224,974,166,162186,1126.01,-45.25096558999999,1.7757505858752216,5.483310222625732,4.91928197958759,0.7732006907463074,1.7757505858752216,0.456403911113739,153087,0.001,0.7732006907463074,0.6540906131960625,0.0
228,993,167,166518,1149.39,-37.302726320000005,1.5636053388529667,5.142473220825195,4.885531843925009,-0.1382184624671936,1.5636053388529667,0.7225170731544495,155950,0.001,-0.1382184624671936,1.3349819962882776,0.0
232,1019,166,169866,1162.31,-33.53628357,1.3358716630567156,4.442558288574219,4.787025909674795,0.7145475745201111,1.3358716630567156,0.6274605989456177,160189,0.001,0.7145475745201111,1.1189741103644788,0.0
236,1050,167,175494,1178.36,-24.610628410000004,1.1215371056665762,3.687730312347412,4.3803191865597,0.9137464761734009,1.1215371056665762,0.28201109170913696,164926,0.001,0.9137464761734009,1.0043344359312738,0.0
240,1079,165,179168,1151.1,-17.27671793,0.7788678832938702,4.005455017089844,4.567049556073889,0.09807029366493225,0.7788678832938702,1.8581552505493164,169589,0.001,0.09807029366493225,0.8488864162689553,0.0
244,1098,166,182872,1143.23,-8.994458820000002,0.5798410009381108,4.099608898162842,4.795582472194325,1.3090187311172485,0.5798410009381108,0.9142106771469116,172493,0.001,1.3090187311172485,0.9965013250539249,0.0
248,1110,165,183575,1123.15,-7.209705640000002,0.2535069170913803,4.137637138366699,4.602157172702608,-0.17193350195884705,0.2535069170913803,0.6280760169029236,174478,0.001,-0.17193350195884705,0.77807245376919,0.0
252,1117,165,185255,1094.14,-4.035069399999998,0.4894401968631428,5.058630466461182,4.627801756064097,0.6963596940040588,0.4894401968631428,1.1329622268676758,175509,0.001,0.6963596940040588,0.9715923089534044,0.0
256,1128,166,187533,1052.92,-0.3612681799999973,0.3945221704091486,4.907954216003418,4.621576990668229,-1.3777892589569092,0.3945221704091486,0.4713307023048401,177242,0.001,-1.3777892589569092,0.9937139095760616,0.0
260,1144,165,188987,1046.01,1.7476339100000013,0.3240104230962386,4.270059585571289,4.628234289108066,0.40204039216041565,0.3240104230962386,0.3461276888847351,179927,0.001,0.40204039216041565,1.0222712991678196,0.0
