time/episodes,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/MSE_losses,train/critic_los,train/loss,train/learning_rate,train/n_updates,train/MSE_loss,train/RL_loss,train/Beta,train/critic_loss,train/actor_loss,train/Main_losses
4,681.75,2727,1885,1,-121.4823545,,,,,,,,,,,
8,1140.875,9127,1896,4,-104.119676125,,,,,,,,,,,
12,935.4166666666666,11225,601,18,-104.00507258333333,7.933136444825393,0.0345861092209816,-0.011586274020373821,0.001,1898,7.319344997406006,-0.011586274020373821,0.0,3.999470022915592,-0.01688501910599044,-0.01688501910599044
16,817.75,13084,559,23,-103.8294115,9.070342981815338,0.45709308981895447,0.17872269451618195,0.001,2357,8.18212890625,0.17872269451618195,0.0,19.086064169114387,0.12317514957394451,0.12317514957394451
20,669.15,13383,390,34,-106.03237325,8.068705358812887,0.06616643071174622,-0.13774298131465912,0.001,4138,7.612331390380859,-0.13774298131465912,0.0,4.888334014302781,-0.0634608140906259,-0.0634608140906259
24,565.0833333333334,13562,377,35,-107.16021595833332,8.995636081695556,0.1679983139038086,-0.0481656938791275,0.001,4386,8.482243537902832,-0.0481656938791275,0.0,13.74982861801982,-0.08263869481161237,-0.08263869481161237
28,491.32142857142856,13757,371,37,-108.76713882142856,8.495766663551331,2.788543224334717,-0.1979382336139679,0.001,4558,9.132835388183594,-0.1979382336139679,0.0,35.38642590194941,-0.13737284298986197,-0.13737284298986197
32,443.71875,14199,356,39,-109.054311125,9.481953724947843,0.5936329364776611,-0.12929268181324005,0.001,4987,10.081949234008789,-0.12929268181324005,0.0,20.151652240538382,-0.023998232325538993,-0.023998232325538993
36,402.6666666666667,14496,348,41,-110.081143,10.203424334526062,19.03561019897461,0.05397714674472809,0.001,5260,10.300455093383789,0.05397714674472809,0.0,17.243577736489318,0.06950696868201096,0.06950696868201096
40,413.325,16533,306,53,-109.2103989,10.3766332317043,8.775001525878906,1.3449146747589111,0.001,7096,10.741347312927246,1.3449146747589111,0.0,10.885734088820954,0.059195867349469175,0.059195867349469175
44,385.8181818181818,16976,291,58,-109.45051461363637,10.680761056787828,0.5558898448944092,-0.5839836597442627,0.001,7762,10.115467071533203,-0.5839836597442627,0.0,6.570673504612855,-0.042322402403635134,-0.042322402403635134
48,409.6666666666667,19664,262,74,-110.86682606250001,9.56717882214523,0.3709173798561096,-0.24645079672336578,0.001,10206,9.438549041748047,-0.24645079672336578,0.0,2.292565003082883,-0.414280325861466,-0.414280325861466
52,387.65384615384613,20158,253,79,-111.70580530769233,9.375436849372331,0.4910559356212616,-1.4837727546691895,0.001,10922,9.559769630432129,-1.4837727546691895,0.0,5.23504794941229,-0.48519999986557766,-0.48519999986557766
56,365.19642857142856,20451,250,81,-112.097855125,9.309890456821607,0.7600952386856079,-0.06319247931241989,0.001,11246,8.59647274017334,-0.06319247931241989,0.0,7.7828439036789145,-0.10997959258763687,-0.10997959258763687
60,348.8666666666667,20932,246,85,-113.4138455,9.187834850947063,7.720284461975098,-0.8963326811790466,0.001,11718,9.542847633361816,-0.8963326811790466,0.0,5.196190221165015,-0.20031612672222157,-0.20031612672222157
64,337.796875,21619,241,89,-114.132266625,9.12548728519016,2.275944232940674,1.1742228269577026,0.001,12422,8.997270584106445,1.1742228269577026,0.0,2.9755020554694864,0.16464456860752155,0.16464456860752155
68,322.5147058823529,21931,239,91,-114.14917205882354,8.96468867858251,5.446566104888916,1.3958483934402466,0.001,12754,8.806167602539062,1.3958483934402466,0.0,3.0361075173033045,0.1052605436804394,0.1052605436804394
72,307.56944444444446,22145,238,92,-113.73392031944445,9.00314972950862,1.045137643814087,1.7444928884506226,0.001,12963,9.301483154296875,1.7444928884506226,0.0,4.2578995643921616,0.698398589478949,0.698398589478949
76,296.4342105263158,22529,236,95,-113.91411981578946,8.651347255706787,2.103877067565918,1.0867801904678345,0.001,13347,8.991019248962402,1.0867801904678345,0.0,2.3908847709496817,0.6416368156671524,0.6416368156671524
80,285.8375,22867,235,97,-113.6686464875,8.815309489214862,19.229171752929688,0.5053187012672424,0.001,13611,9.273262977600098,0.5053187012672424,0.0,5.8393627811561934,0.8207164025968976,0.8207164025968976
84,277.32142857142856,23295,232,100,-113.62741080952381,9.026303934014361,0.4142697751522064,-0.5791350603103638,0.001,14104,9.220663070678711,-0.5791350603103638,0.0,2.8233963325619698,1.2409016815540583,1.2409016815540583
