time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/Beta,train/loss,train/RL_loss,train/ent_coef,train/MSE_loss,train/learning_rate,train/n_updates,train/critic_los,train/MSE_losses,train/Main_losses,train/actor_loss,train/critic_loss
60,0,2806,15.0,4,15.0,,,,,,,,,,,,,
189,1,168,23.625,8,23.625,-0.14472636580467224,0.913,-1.5548890829086304,-2.6829326152801514,0.9164890050888062,1.2355351448059082,0.001,88,0.06426653265953064,1.2355351448059082,-1.5548890829086304,-2.6829326152801514,0.06426653265953064
273,2,128,22.75,12,22.75,-0.2749530076980591,0.829,-1.9896657466888428,-3.047966718673706,0.8426235318183899,1.2765995264053345,0.001,172,0.12245476990938187,1.2765995264053345,-1.9896657466888428,-3.047966718673706,0.12245476990938187
437,4,107,27.3125,16,27.3125,-0.5503254532814026,0.665,-2.923039436340332,-3.8409948348999023,0.7158464789390564,1.3803842067718506,0.001,336,0.10526464879512787,1.3803842067718506,-2.923039436340332,-3.8409948348999023,0.10526464879512787
541,5,103,27.05,20,27.05,-0.7169463634490967,0.561,-3.4573588371276855,-4.283357620239258,0.6454167366027832,1.4723687171936035,0.001,440,0.1915302276611328,1.4723687171936035,-3.4573588371276855,-4.283357620239258,0.1915302276611328
748,7,97,31.166666666666668,24,31.166666666666668,-0.9960055351257324,0.354,-4.804776668548584,-5.187983989715576,0.5264459848403931,1.0825071334838867,0.001,647,0.10860614478588104,1.0825071334838867,-4.804776668548584,-5.187983989715576,0.10860614478588104
1163,12,93,41.535714285714285,28,41.535714285714285,-1.4185070991516113,0,-7.255138874053955,-7.255138874053955,0.35694146156311035,1.412941336631775,0.001,1062,0.11387592554092407,1.412941336631775,-7.255138874053955,-7.255138874053955,0.11387592554092407
2343,25,91,73.21875,32,73.21875,-2.5759105682373047,0,-12.771221160888672,-12.771221160888672,0.12783238291740417,1.5050400495529175,0.001,2242,0.12248920649290085,1.5050400495529175,-12.771221160888672,-12.771221160888672,0.12248920649290085
3300,36,90,91.66666666666667,36,91.66666666666667,-3.0327935218811035,0,-16.48324966430664,-16.48324966430664,0.052898745983839035,1.1807689666748047,0.001,3199,0.08152253925800323,1.1807689666748047,-16.48324966430664,-16.48324966430664,0.08152253925800323
5300,58,90,132.5,40,132.5,-1.497117042541504,0,-23.84996223449707,-23.84996223449707,0.013008750043809414,1.610870122909546,0.001,5199,0.23641878366470337,1.610870122909546,-23.84996223449707,-23.84996223449707,0.23641878366470337
7003,77,90,159.1590909090909,44,159.1590909090909,-0.8330284953117371,0,-30.010927200317383,-30.010927200317383,0.00886548776179552,1.2563658952713013,0.001,6902,0.16345159709453583,1.2563658952713013,-30.010927200317383,-30.010927200317383,0.16345159709453583
8622,95,90,179.625,48,179.625,-0.03361578285694122,0,-34.30728530883789,-34.30728530883789,0.012114058248698711,1.3888829946517944,0.001,8521,0.20796698331832886,1.3888829946517944,-34.30728530883789,-34.30728530883789,0.20796698331832886
10419,115,89,200.3653846153846,52,200.3653846153846,1.9865105152130127,0,-39.742469787597656,-39.742469787597656,0.009115459397435188,1.6606972217559814,0.001,10318,0.10426871478557587,1.6606972217559814,-39.742469787597656,-39.742469787597656,0.10426871478557587
12159,135,89,217.125,56,217.125,-0.040194906294345856,0,-44.661712646484375,-44.661712646484375,0.010291150771081448,1.2279421091079712,0.001,12058,0.08359062671661377,1.2279421091079712,-44.661712646484375,-44.661712646484375,0.08359062671661377
13086,145,89,218.1,60,218.1,0.3900632858276367,0,-46.40692901611328,-46.40692901611328,0.01358338724821806,1.2831881046295166,0.001,12985,0.10044552385807037,1.2831881046295166,-46.40692901611328,-46.40692901611328,0.10044552385807037
13545,150,89,211.640625,64,211.640625,-0.7456934452056885,0,-46.47136688232422,-46.47136688232422,0.016138149425387383,1.197516918182373,0.001,13444,0.09844698756933212,1.197516918182373,-46.47136688232422,-46.47136688232422,0.09844698756933212
14038,156,89,206.44117647058823,68,206.44117647058823,0.3975861370563507,0,-47.885684967041016,-47.885684967041016,0.014389063231647015,1.2589298486709595,0.001,13937,0.23328819870948792,1.2589298486709595,-47.885684967041016,-47.885684967041016,0.23328819870948792
14528,161,89,201.77777777777777,72,201.77777777777777,-0.3816237449645996,0,-47.704925537109375,-47.704925537109375,0.01526344008743763,1.337137222290039,0.001,14427,0.08077790588140488,1.337137222290039,-47.704925537109375,-47.704925537109375,0.08077790588140488
15074,167,89,198.3421052631579,76,198.3421052631579,0.0018008872866630554,0,-48.03263854980469,-48.03263854980469,0.015225734561681747,1.4399080276489258,0.001,14973,1.617898941040039,1.4399080276489258,-48.03263854980469,-48.03263854980469,1.617898941040039
16090,179,89,201.125,80,201.125,-0.7616450190544128,0,-51.02175521850586,-51.02175521850586,0.012950800359249115,1.2937684059143066,0.001,15989,0.11584225296974182,1.2937684059143066,-51.02175521850586,-51.02175521850586,0.11584225296974182
17653,196,89,210.1547619047619,84,210.1547619047619,-0.19234973192214966,0,-54.92765808105469,-54.92765808105469,0.016750801354646683,1.2944159507751465,0.001,17552,0.1411166787147522,1.2944159507751465,-54.92765808105469,-54.92765808105469,0.1411166787147522
19001,211,89,215.92045454545453,88,215.92045454545453,0.5070950388908386,0,-55.751014709472656,-55.751014709472656,0.018359577283263206,1.097470998764038,0.001,18900,0.1552111655473709,1.097470998764038,-55.751014709472656,-55.751014709472656,0.1552111655473709
20361,226,89,221.31521739130434,92,221.31521739130434,-0.21868669986724854,0,-56.59329605102539,-56.59329605102539,0.020228756591677666,1.0695850849151611,0.001,20260,0.07355391979217529,1.0695850849151611,-56.59329605102539,-56.59329605102539,0.07355391979217529
21661,241,89,225.63541666666666,96,225.63541666666666,0.08367016911506653,0,-58.693992614746094,-58.693992614746094,0.02418316900730133,1.2680001258850098,0.001,21560,0.18242432177066803,1.2680001258850098,-58.693992614746094,-58.693992614746094,0.18242432177066803
23147,258,89,231.47,100,231.47,-0.12813034653663635,0,-60.938690185546875,-60.938690185546875,0.022556493058800697,1.2924199104309082,0.001,23046,0.0813971757888794,1.2924199104309082,-60.938690185546875,-60.938690185546875,0.0813971757888794
24309,271,89,242.49,104,242.49,-0.37392282485961914,0,-61.428192138671875,-61.428192138671875,0.027556922286748886,1.3719456195831299,0.001,24208,0.11136047542095184,1.3719456195831299,-61.428192138671875,-61.428192138671875,0.11136047542095184
25540,285,89,253.51,108,253.51,-0.7808436155319214,0,-63.82063674926758,-63.82063674926758,0.027595581486821175,1.2936644554138184,0.001,25439,0.08517038077116013,1.2936644554138184,-63.82063674926758,-63.82063674926758,0.08517038077116013
27040,301,89,267.67,112,267.67,0.46847018599510193,0,-62.97871398925781,-62.97871398925781,0.02621765062212944,1.1951091289520264,0.001,26939,0.1254982352256775,1.1951091289520264,-62.97871398925781,-62.97871398925781,0.1254982352256775
28468,317,89,280.31,116,280.31,-0.16350087523460388,0,-67.05812072753906,-67.05812072753906,0.02389771118760109,1.1812938451766968,0.001,28367,0.1115226149559021,1.1812938451766968,-67.05812072753906,-67.05812072753906,0.1115226149559021
30368,339,89,298.27,120,298.27,-0.08346258103847504,0,-68.5215072631836,-68.5215072631836,0.024111688137054443,1.1675806045532227,0.001,30267,0.14832377433776855,1.1675806045532227,-68.5215072631836,-68.5215072631836,0.14832377433776855
32368,361,89,316.2,124,316.2,-0.16872897744178772,0,-69.37001037597656,-69.37001037597656,0.022101880982518196,1.1821353435516357,0.001,32267,0.1286923885345459,1.1821353435516357,-69.37001037597656,-69.37001037597656,0.1286923885345459
34368,384,89,332.05,128,332.05,-0.06468302756547928,0,-69.30451202392578,-69.30451202392578,0.02031976357102394,1.2660789489746094,0.001,34267,0.06484034657478333,1.2660789489746094,-69.30451202392578,-69.30451202392578,0.06484034657478333
36368,406,89,340.25,132,340.25,0.3703243136405945,0,-71.9556884765625,-71.9556884765625,0.02137002907693386,1.2410969734191895,0.001,36267,0.060944970697164536,1.2410969734191895,-71.9556884765625,-71.9556884765625,0.060944970697164536
38368,428,89,350.68,136,350.68,-0.3158453702926636,0,-75.54632568359375,-75.54632568359375,0.014585006050765514,1.2772836685180664,0.001,38267,0.11011572927236557,1.2772836685180664,-75.54632568359375,-75.54632568359375,0.11011572927236557
40368,451,89,350.68,140,350.68,-0.03620097041130066,0,-77.18855285644531,-77.18855285644531,0.01651374250650406,1.2623186111450195,0.001,40267,0.4695056676864624,1.2623186111450195,-77.18855285644531,-77.18855285644531,0.4695056676864624
42368,473,89,353.65,144,353.65,0.24338728189468384,0,-77.41824340820312,-77.41824340820312,0.015703989192843437,1.1652801036834717,0.001,42267,0.2626163363456726,1.1652801036834717,-77.41824340820312,-77.41824340820312,0.2626163363456726
44368,495,89,357.46,148,357.46,-0.6072036027908325,0,-78.23091125488281,-78.23091125488281,0.01701747626066208,1.1416358947753906,0.001,44267,0.06652164459228516,1.1416358947753906,-78.23091125488281,-78.23091125488281,0.06652164459228516
46350,517,89,359.31,152,359.31,-0.019879579544067383,0,-79.27879333496094,-79.27879333496094,0.014506995677947998,1.336498498916626,0.001,46249,0.06078046187758446,1.336498498916626,-79.27879333496094,-79.27879333496094,0.06078046187758446
48284,539,89,361.25,156,361.25,-0.3077675700187683,0,-80.98216247558594,-80.98216247558594,0.014854362234473228,1.2684941291809082,0.001,48183,0.07446929067373276,1.2684941291809082,-80.98216247558594,-80.98216247558594,0.07446929067373276
50137,560,89,370.51,160,370.51,-0.2728358507156372,0,-81.9166259765625,-81.9166259765625,0.012439030222594738,1.0965888500213623,0.001,50036,0.06796258687973022,1.0965888500213623,-81.9166259765625,-81.9166259765625,0.06796258687973022
52137,582,89,385.92,164,385.92,-0.08906277269124985,0,-81.52801513671875,-81.52801513671875,0.013045362196862698,1.1269009113311768,0.001,52036,0.03989049792289734,1.1269009113311768,-81.52801513671875,-81.52801513671875,0.03989049792289734
54137,604,89,400.99,168,400.99,-0.20938406884670258,0,-85.77393341064453,-85.77393341064453,0.01392863504588604,1.266503095626831,0.001,54036,0.10176999866962433,1.266503095626831,-85.77393341064453,-85.77393341064453,0.10176999866962433
56137,627,89,416.09,172,416.09,1.0041509866714478,0,-84.80142211914062,-84.80142211914062,0.013029893860220909,1.3207342624664307,0.001,56036,0.07767195254564285,1.3207342624664307,-84.80142211914062,-84.80142211914062,0.07767195254564285
58137,649,89,430.63,176,430.63,0.6421085596084595,0,-85.96177673339844,-85.96177673339844,0.014649318531155586,1.2328380346298218,0.001,58036,0.0714532807469368,1.2328380346298218,-85.96177673339844,-85.96177673339844,0.0714532807469368
60137,671,89,440.47,180,440.47,0.07498645782470703,0,-87.55500793457031,-87.55500793457031,0.015458942390978336,1.2930043935775757,0.001,60036,0.16374367475509644,1.2930043935775757,-87.55500793457031,-87.55500793457031,0.16374367475509644
62137,694,89,444.84,184,444.84,0.22011810541152954,0,-88.3555908203125,-88.3555908203125,0.013408035039901733,1.116662621498108,0.001,62036,0.2820424437522888,1.116662621498108,-88.3555908203125,-88.3555908203125,0.2820424437522888
64137,716,89,451.36,188,451.36,-0.7439604997634888,0,-90.2884750366211,-90.2884750366211,0.012467586435377598,1.186753273010254,0.001,64036,0.042814671993255615,1.186753273010254,-90.2884750366211,-90.2884750366211,0.042814671993255615
66137,739,89,457.76,192,457.76,0.26524075865745544,0,-88.58777618408203,-88.58777618408203,0.011909334920346737,1.0975160598754883,0.001,66036,0.04754363000392914,1.0975160598754883,-88.58777618408203,-88.58777618408203,0.04754363000392914
68137,761,89,464.76,196,464.76,-0.28525447845458984,0,-91.01127624511719,-91.01127624511719,0.009644794277846813,1.0763750076293945,0.001,68036,0.03746704012155533,1.0763750076293945,-91.01127624511719,-91.01127624511719,0.03746704012155533
70137,784,89,469.9,200,469.9,0.5104296207427979,0,-90.14321899414062,-90.14321899414062,0.008975151926279068,1.405969262123108,0.001,70036,1.8578840494155884,1.405969262123108,-90.14321899414062,-90.14321899414062,1.8578840494155884
72137,806,89,478.28,204,478.28,0.021062076091766357,0,-92.79510498046875,-92.79510498046875,0.008899330161511898,1.1907167434692383,0.001,72036,0.04019411653280258,1.1907167434692383,-92.79510498046875,-92.79510498046875,0.04019411653280258
74137,829,89,485.97,208,485.97,-1.1488412618637085,0,-93.00102233886719,-93.00102233886719,0.0076746027916669846,1.4293856620788574,0.001,74036,0.04348989203572273,1.4293856620788574,-93.00102233886719,-93.00102233886719,0.04348989203572273
76016,850,89,489.76,212,489.76,-0.5014984607696533,0,-90.2517318725586,-90.2517318725586,0.007771932519972324,1.2563433647155762,0.001,75915,0.053586117923259735,1.2563433647155762,-90.2517318725586,-90.2517318725586,0.053586117923259735
78016,873,89,495.48,216,495.48,-1.2325013875961304,0,-92.58627319335938,-92.58627319335938,0.01663953997194767,1.3565585613250732,0.001,77915,0.03380357474088669,1.3565585613250732,-92.58627319335938,-92.58627319335938,0.03380357474088669
80016,895,89,496.48,220,496.48,0.5072678923606873,0,-93.37799072265625,-93.37799072265625,0.013048871420323849,1.273725986480713,0.001,79915,0.09322512149810791,1.273725986480713,-93.37799072265625,-93.37799072265625,0.09322512149810791
82006,917,89,496.38,224,496.38,0.49435412883758545,0,-92.94554901123047,-92.94554901123047,0.00963355228304863,1.3291654586791992,0.001,81905,0.12135941535234451,1.3291654586791992,-92.94554901123047,-92.94554901123047,0.12135941535234451
84006,940,89,496.38,228,496.38,-0.4519136846065521,0,-94.39100646972656,-94.39100646972656,0.011985518969595432,1.3780159950256348,0.001,83905,0.12034577876329422,1.3780159950256348,-94.39100646972656,-94.39100646972656,0.12034577876329422
86006,962,89,496.38,232,496.38,-0.8915259838104248,0,-93.83598327636719,-93.83598327636719,0.012350759468972683,1.3427340984344482,0.001,85905,0.042902782559394836,1.3427340984344482,-93.83598327636719,-93.83598327636719,0.042902782559394836
88006,985,89,496.38,236,496.38,-0.23068785667419434,0,-90.9136734008789,-90.9136734008789,0.010374774225056171,1.3744064569473267,0.001,87905,0.09518629312515259,1.3744064569473267,-90.9136734008789,-90.9136734008789,0.09518629312515259
90006,1007,89,496.38,240,496.38,0.21781082451343536,0,-94.46625518798828,-94.46625518798828,0.018525684252381325,1.4485406875610352,0.001,89905,0.03872233256697655,1.4485406875610352,-94.46625518798828,-94.46625518798828,0.03872233256697655
91762,1027,89,493.94,244,493.94,-0.013535469770431519,0,-96.58657836914062,-96.58657836914062,0.028547225520014763,1.3243088722229004,0.001,91661,0.08209248632192612,1.3243088722229004,-96.58657836914062,-96.58657836914062,0.08209248632192612
93762,1049,89,493.94,248,493.94,-0.5319061279296875,0,-97.51399230957031,-97.51399230957031,0.02340238355100155,1.2148051261901855,0.001,93661,0.2047985941171646,1.2148051261901855,-97.51399230957031,-97.51399230957031,0.2047985941171646
95762,1072,89,494.12,252,494.12,-0.4552578032016754,0,-98.20724487304688,-98.20724487304688,0.01364519540220499,1.2749111652374268,0.001,95661,0.03444012254476547,1.2749111652374268,-98.20724487304688,-98.20724487304688,0.03444012254476547
97762,1094,89,494.78,256,494.78,-0.03269428014755249,0,-98.71630859375,-98.71630859375,0.011847195215523243,1.2683483362197876,0.001,97661,0.029226232320070267,1.2683483362197876,-98.71630859375,-98.71630859375,0.029226232320070267
99762,1117,89,496.25,260,496.25,-0.962844967842102,0,-99.19317626953125,-99.19317626953125,0.011024942621588707,1.3328064680099487,0.001,99661,0.3413183093070984,1.3328064680099487,-99.19317626953125,-99.19317626953125,0.3413183093070984
