time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/learning_rate,train/critic_los,train/Beta,train/MSE_loss,train/critic_loss,train/MSE_losses,train/ent_coef,train/Main_losses,train/n_updates,train/actor_loss,train/ent_coef_loss,train/RL_loss
4,0,10.75,2779,43,10.75,,,,,,,,,,,,,
8,0,17.25,294,138,17.25,-0.9754228591918945,0.001,0.09896393865346909,0.964,1.3323943614959717,0.09896393865346909,1.3323943614959717,0.9645568132400513,-0.9754228591918945,37,-2.2598509788513184,-0.05830731242895126,-2.2598509788513184
12,1,19.083333333333332,153,229,19.083333333333332,-1.7104847431182861,0.001,0.10678000003099442,0.873,1.3129770755767822,0.10678000003099442,1.3129770755767822,0.8807880282402039,-1.7104847431182861,128,-2.8567137718200684,-0.20744527876377106,-2.8567137718200684
16,2,19.875,128,318,19.875,-2.1477599143981934,0.001,0.1260652095079422,0.784,1.306789517402649,0.1260652095079422,1.306789517402649,0.806190550327301,-2.1477599143981934,217,-3.1722826957702637,-0.3460821509361267,-3.1722826957702637
20,3,21.4,114,428,21.4,-2.839628219604492,0.001,0.1804739534854889,0.674,1.296067476272583,0.1804739534854889,1.296067476272583,0.7226701974868774,-2.839628219604492,327,-3.7131776809692383,-0.5156247019767761,-3.7131776809692383
24,4,21.041666666666668,109,505,21.041666666666668,-3.4931278228759766,0.001,0.12494377046823502,0.597,1.1110225915908813,0.12494377046823502,1.1110225915908813,0.6695774793624878,-3.4931278228759766,404,-4.156408309936523,-0.6511601209640503,-4.156408309936523
28,5,22.5,105,630,22.5,-3.85332989692688,0.001,0.11977130174636841,0.472,1.6373026371002197,0.11977130174636841,1.6373026371002197,0.5916511416435242,-3.85332989692688,529,-4.626136779785156,-0.8246300220489502,-4.626136779785156
32,7,24.125,101,772,24.125,-4.9030656814575195,0.001,0.10658876597881317,0.33,1.1894481182098389,0.10658876597881317,1.1894481182098389,0.5147209763526917,-4.9030656814575195,671,-5.295583724975586,-1.046030879020691,-5.295583724975586
36,13,36.833333333333336,96,1326,36.833333333333336,-7.709900856018066,0.001,0.2344854474067688,0,1.1992683410644531,0.2344854474067688,1.1992683410644531,0.3049905598163605,-7.709900856018066,1225,-7.709900856018066,-1.6101279258728027,-7.709900856018066
40,19,46.975,94,1879,46.975,-9.699319839477539,0.001,0.16720610857009888,0,1.1169826984405518,0.16720610857009888,1.1169826984405518,0.1888023167848587,-9.699319839477539,1778,-9.699319839477539,-1.9928131103515625,-9.699319839477539
