time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/n_updates,train/loss,train/critic_loss,train/actor_loss,train/MSE_losses,train/Beta,train/Main_losses,train/MSE_loss,train/RL_loss,train/critic_los,train/ent_coef,train/ent_coef_loss,train/learning_rate
2864,0,14.75,59,14.75,4,,,,,,,,,,,,,
877,0,13.5,108,13.5,8,7,-2.098240852355957,0.44121652841567993,-2.098240852355957,0.42214396595954895,0.0,-2.098240852355957,0.42214396595954895,-2.098240852355957,0.44121652841567993,0.9940183162689209,-0.009941043332219124,0.001
189,0,15.166666666666666,182,15.166666666666666,12,81,-2.689854621887207,0.07510937005281448,-2.689854621887207,0.4021599292755127,0.0,-2.689854621887207,0.4021599292755127,-2.689854621887207,0.07510937005281448,0.9230326414108276,-0.13489674031734467,0.001
154,1,14.3125,229,14.3125,16,128,-2.9311444759368896,0.08816206455230713,-2.9311444759368896,0.41495734453201294,0.0,-2.9311444759368896,0.41495734453201294,-2.9311444759368896,0.08816206455230713,0.8806245923042297,-0.2124377191066742,0.001
134,2,14.45,289,14.45,20,188,-3.1815061569213867,0.06956452876329422,-3.1815061569213867,0.4852651357650757,0.0,-3.1815061569213867,0.4852651357650757,-3.1815061569213867,0.06956452876329422,0.8293166160583496,-0.31232133507728577,0.001
125,2,13.875,333,13.875,24,232,-3.39998459815979,0.15630629658699036,-3.39998459815979,0.41379624605178833,0.0,-3.39998459815979,0.41379624605178833,-3.39998459815979,0.15630629658699036,0.7936409711837769,-0.38811802864074707,0.001
117,3,14.571428571428571,408,14.571428571428571,28,307,-3.6262128353118896,0.1844412386417389,-3.6262128353118896,0.3853459358215332,0.0,-3.6262128353118896,0.3853459358215332,-3.6262128353118896,0.1844412386417389,0.7362073063850403,-0.5191177129745483,0.001
112,4,14.9375,478,14.9375,32,377,-3.898794651031494,0.19164064526557922,-3.898794651031494,0.414646178483963,0.0,-3.898794651031494,0.414646178483963,-3.898794651031494,0.19164064526557922,0.6864108443260193,-0.6207680106163025,0.001
108,5,15.38888888888889,554,15.38888888888889,36,453,-4.3026227951049805,0.16640739142894745,-4.3026227951049805,0.4033815860748291,0.0,-4.3026227951049805,0.4033815860748291,-4.3026227951049805,0.16640739142894745,0.6362296938896179,-0.7540880441665649,0.001
105,6,16.05,642,16.05,40,541,-4.669627666473389,0.19263634085655212,-4.669627666473389,0.34602075815200806,0.0,-4.669627666473389,0.34602075815200806,-4.669627666473389,0.19263634085655212,0.5828452110290527,-0.8892910480499268,0.001
103,6,15.795454545454545,695,15.795454545454545,44,594,-4.9106645584106445,0.2028386890888214,-4.9106645584106445,0.352477490901947,0.0,-4.9106645584106445,0.352477490901947,-4.9106645584106445,0.2028386890888214,0.5529932975769043,-0.9902046322822571,0.001
100,8,17.875,858,17.875,48,757,-5.827258110046387,0.09622693061828613,-5.827258110046387,0.30957385897636414,0.0,-5.827258110046387,0.30957385897636414,-5.827258110046387,0.09622693061828613,0.4718478322029114,-1.1892422437667847,0.001
99,9,18.365384615384617,955,18.365384615384617,52,854,-5.867068290710449,0.11764320731163025,-5.867068290710449,0.29339656233787537,0.0,-5.867068290710449,0.29339656233787537,-5.867068290710449,0.11764320731163025,0.4308336675167084,-1.2728686332702637,0.001
97,11,20.5,1148,20.5,56,1047,-7.051311016082764,0.05112355947494507,-7.051311016082764,0.29983413219451904,-0.0,-7.051311016082764,0.29983413219451904,-7.051311016082764,0.05112355947494507,0.36165791749954224,-1.5591551065444946,0.001
95,17,28.433333333333334,1706,28.433333333333334,60,1605,-9.307071685791016,0.1335216760635376,-9.307071685791016,0.29857075214385986,-0.0,-9.307071685791016,0.29857075214385986,-9.307071685791016,0.1335216760635376,0.22789892554283142,-1.7881054878234863,0.001
93,23,34.796875,2227,34.796875,64,2126,-10.998208999633789,0.12956608831882477,-10.998208999633789,0.28901880979537964,-0.0,-10.998208999633789,0.28901880979537964,-10.998208999633789,0.12956608831882477,0.14781615138053894,-2.331294536590576,0.001
92,31,42.529411764705884,2892,42.529411764705884,68,2791,-13.91474723815918,0.11801554262638092,-13.91474723815918,0.33604368567466736,-0.0,-13.91474723815918,0.33604368567466736,-13.91474723815918,0.11801554262638092,0.08454485982656479,-2.435420513153076,0.001
92,38,49.666666666666664,3576,49.666666666666664,72,3475,-16.21210289001465,0.16512331366539001,-16.21210289001465,0.25398576259613037,-0.0,-16.21210289001465,0.25398576259613037,-16.21210289001465,0.16512331366539001,0.04747798293828964,-2.7380669116973877,0.001
91,54,65.17105263157895,4953,65.17105263157895,76,4852,-21.931617736816406,0.20910054445266724,-21.931617736816406,0.33297744393348694,-0.0,-21.931617736816406,0.33297744393348694,-21.931617736816406,0.20910054445266724,0.018062911927700043,-1.3761730194091797,0.001
