time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/RL_loss,train/MSE_loss,train/MSE_losses,train/Main_losses,train/learning_rate,train/n_updates,train/Beta,train/critic_los,train/ent_coef_loss,train/loss,train/ent_coef,train/actor_loss,train/critic_loss
43,4,2834,10.75,10.75,0,,,,,,,,,,,,,
118,8,511,14.75,14.75,0,-2.144474506378174,0.40467968583106995,0.40467968583106995,-2.144474506378174,0.001,17,0.0,0.19814924895763397,-0.026961594820022583,-2.144474506378174,0.9841226935386658,-2.144474506378174,0.19814924895763397
176,12,200,14.666666666666666,14.666666666666666,0,-2.6808784008026123,0.4615288972854614,0.4615288972854614,-2.6808784008026123,0.001,75,0.0,0.11663249135017395,-0.12332894653081894,-2.6808784008026123,0.9286599159240723,-2.6808784008026123,0.11663249135017395
216,16,162,13.5,13.5,1,-2.862323760986328,0.416840523481369,0.416840523481369,-2.862323760986328,0.001,115,0.0,0.08129832148551941,-0.19055266678333282,-2.862323760986328,0.8922121524810791,-2.862323760986328,0.08129832148551941
274,20,138,13.7,13.7,1,-3.057624101638794,0.43886280059814453,0.43886280059814453,-3.057624101638794,0.001,173,0.0,0.11864213645458221,-0.2882751524448395,-3.057624101638794,0.8418731689453125,-3.057624101638794,0.11864213645458221
325,24,127,13.541666666666666,13.541666666666666,2,-3.287966012954712,0.44192492961883545,0.44192492961883545,-3.287966012954712,0.001,224,0.0,0.15877683460712433,-0.3736090362071991,-3.287966012954712,0.7999643683433533,-3.287966012954712,0.15877683460712433
381,28,120,13.607142857142858,13.607142857142858,3,-3.586989164352417,0.4103178381919861,0.4103178381919861,-3.586989164352417,0.001,280,0.0,0.18004782497882843,-0.46723702549934387,-3.586989164352417,0.7563638687133789,-3.586989164352417,0.18004782497882843
434,32,115,13.5625,13.5625,3,-3.7349114418029785,0.40632596611976624,0.40632596611976624,-3.7349114418029785,0.001,333,0.0,0.15483948588371277,-0.5538971424102783,-3.7349114418029785,0.7173542380332947,-3.7349114418029785,0.15483948588371277
524,36,109,14.555555555555555,14.555555555555555,4,-4.193624496459961,0.37369102239608765,0.37369102239608765,-4.193624496459961,0.001,423,0.0,0.1640876978635788,-0.7110346555709839,-4.193624496459961,0.6558026075363159,-4.193624496459961,0.1640876978635788
602,40,106,15.05,15.05,5,-4.546877384185791,0.36535367369651794,0.36535367369651794,-4.546877384185791,0.001,501,0.0,0.12256934493780136,-0.830438494682312,-4.546877384185791,0.6067944765090942,-4.546877384185791,0.12256934493780136
658,44,105,14.954545454545455,14.954545454545455,6,-4.7610650062561035,0.334433913230896,0.334433913230896,-4.7610650062561035,0.001,557,0.0,0.11981130391359329,-0.9115270376205444,-4.7610650062561035,0.5740025639533997,-4.7610650062561035,0.11981130391359329
753,48,102,15.6875,15.6875,7,-5.028075218200684,0.29668325185775757,0.29668325185775757,-5.028075218200684,0.001,652,0.0,0.17411136627197266,-1.054241418838501,-5.028075218200684,0.5227936506271362,-5.028075218200684,0.17411136627197266
954,52,99,18.346153846153847,18.346153846153847,9,-5.941829681396484,0.27988487482070923,0.27988487482070923,-5.941829681396484,0.001,853,0.0,0.08906339108943939,-1.245147466659546,-5.941829681396484,0.43224549293518066,-5.941829681396484,0.08906339108943939
1562,56,95,27.892857142857142,27.892857142857142,16,-8.642634391784668,0.28625234961509705,0.28625234961509705,-8.642634391784668,0.001,1461,-0.0,0.10140968859195709,-1.441582441329956,-8.642634391784668,0.26014018058776855,-8.642634391784668,0.10140968859195709
2605,60,93,43.416666666666664,43.416666666666664,27,-12.897601127624512,0.3472784161567688,0.3472784161567688,-12.897601127624512,0.001,2504,-0.0,0.1976509690284729,-2.2813405990600586,-12.897601127624512,0.10796048492193222,-12.897601127624512,0.1976509690284729
4041,64,92,63.140625,63.140625,43,-18.353225708007812,0.3284539580345154,0.3284539580345154,-18.353225708007812,0.001,3940,-0.0,0.3501187860965729,-1.935027003288269,-18.353225708007812,0.03506994619965553,-18.353225708007812,0.3501187860965729
5517,68,92,81.13235294117646,81.13235294117646,59,-23.316864013671875,0.4605620503425598,0.4605620503425598,-23.316864013671875,0.001,5416,-0.0,0.07419733703136444,-0.5953407883644104,-23.316864013671875,0.01402590237557888,-23.316864013671875,0.07419733703136444
6646,72,91,92.30555555555556,92.30555555555556,72,-24.791091918945312,0.4868982136249542,0.4868982136249542,-24.791091918945312,0.001,6545,-0.0,0.08596434444189072,1.560896873474121,-24.791091918945312,0.011968911625444889,-24.791091918945312,0.08596434444189072
7659,76,91,100.77631578947368,100.77631578947368,83,-28.1961727142334,0.47110825777053833,0.47110825777053833,-28.1961727142334,0.001,7558,-0.0,0.1621190905570984,-0.34533464908599854,-28.1961727142334,0.015474268235266209,-28.1961727142334,0.1621190905570984
8690,80,91,108.625,108.625,95,-29.76767921447754,0.43020322918891907,0.43020322918891907,-29.76767921447754,0.001,8589,-0.0,0.23785047233104706,-0.9212046265602112,-29.76767921447754,0.02036428079009056,-29.76767921447754,0.23785047233104706
9969,84,91,118.67857142857143,118.67857142857143,109,-34.651947021484375,0.44980525970458984,0.44980525970458984,-34.651947021484375,0.001,9868,-0.0,0.1737453043460846,0.5820232629776001,-34.651947021484375,0.01729905977845192,-34.651947021484375,0.1737453043460846
11216,88,91,127.45454545454545,127.45454545454545,123,-36.451786041259766,0.47577136754989624,0.47577136754989624,-36.451786041259766,0.001,11115,-0.0,0.4868520498275757,0.8571345210075378,-36.451786041259766,0.0168489720672369,-36.451786041259766,0.4868520498275757
12429,92,90,135.09782608695653,135.09782608695653,136,-39.37460708618164,0.4246097207069397,0.4246097207069397,-39.37460708618164,0.001,12328,-0.0,0.3337405025959015,0.08191460371017456,-39.37460708618164,0.017732083797454834,-39.37460708618164,0.3337405025959015
13692,96,90,142.625,142.625,150,-40.14109420776367,0.4414435029029846,0.4414435029029846,-40.14109420776367,0.001,13591,-0.0,0.8401587009429932,0.422466516494751,-40.14109420776367,0.017245138064026833,-40.14109420776367,0.8401587009429932
14985,100,90,149.85,149.85,164,-43.070831298828125,0.44289830327033997,0.44289830327033997,-43.070831298828125,0.001,14884,-0.0,0.7734783887863159,-0.8505744934082031,-43.070831298828125,0.016565535217523575,-43.070831298828125,0.7734783887863159
16371,104,90,163.28,163.28,180,-45.97785568237305,0.40292757749557495,0.40292757749557495,-45.97785568237305,0.001,16270,-0.0,0.13605672121047974,-0.22195644676685333,-45.97785568237305,0.01716708019375801,-45.97785568237305,0.13605672121047974
17897,108,90,177.79,177.79,197,-47.4736328125,0.38794100284576416,0.38794100284576416,-47.4736328125,0.001,17796,-0.0,0.34657570719718933,0.7691096663475037,-47.4736328125,0.01667094975709915,-47.4736328125,0.34657570719718933
19897,112,90,197.21,197.21,219,-52.72515869140625,0.3940541744232178,0.3940541744232178,-52.72515869140625,0.001,19796,-0.0,0.43810054659843445,-0.43818506598472595,-52.72515869140625,0.019512975588440895,-52.72515869140625,0.43810054659843445
21820,116,90,216.04,216.04,240,-55.24407196044922,0.34659719467163086,0.34659719467163086,-55.24407196044922,0.001,21719,-0.0,1.2862911224365234,-0.670681357383728,-55.24407196044922,0.015992263332009315,-55.24407196044922,1.2862911224365234
23531,120,90,232.57,232.57,259,-58.30081558227539,0.3178969621658325,0.3178969621658325,-58.30081558227539,0.001,23430,-0.0,0.13576453924179077,-1.8840587139129639,-58.30081558227539,0.01255594938993454,-58.30081558227539,0.13576453924179077
25031,124,90,247.06,247.06,276,-60.373512268066406,0.2838766872882843,0.2838766872882843,-60.373512268066406,0.001,24930,-0.0,0.17899805307388306,-0.07999444007873535,-60.373512268066406,0.010571299120783806,-60.373512268066406,0.17899805307388306
26758,128,90,263.77,263.77,295,-60.84064483642578,0.20256878435611725,0.20256878435611725,-60.84064483642578,0.001,26657,-0.0,0.11190637946128845,-0.5293229818344116,-60.84064483642578,0.009003077633678913,-60.84064483642578,0.11190637946128845
28233,132,90,277.99,277.99,312,-61.898353576660156,0.28775453567504883,0.28775453567504883,-61.898353576660156,0.001,28132,-0.0,2.3645381927490234,0.2947731018066406,-61.898353576660156,0.010852866806089878,-61.898353576660156,2.3645381927490234
28774,136,90,282.5,282.5,318,-62.81188201904297,0.2528093159198761,0.2528093159198761,-62.81188201904297,0.001,28673,-0.0,0.6419603228569031,-0.391901433467865,-62.81188201904297,0.013285442255437374,-62.81188201904297,0.6419603228569031
29255,140,90,286.53,286.53,323,-62.18055725097656,0.23407605290412903,0.23407605290412903,-62.18055725097656,0.001,29154,-0.0,0.7759095430374146,-0.14704644680023193,-62.18055725097656,0.013146118260920048,-62.18055725097656,0.7759095430374146
29831,144,90,291.73,291.73,329,-62.83905029296875,0.27704817056655884,0.27704817056655884,-62.83905029296875,0.001,29730,-0.0,1.2400553226470947,0.19299456477165222,-62.83905029296875,0.015048773027956486,-62.83905029296875,1.2400553226470947
