time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/actor_loss,train/MSE_loss,train/learning_rate,train/critic_los,train/loss,train/RL_loss,train/n_updates,train/critic_loss,train/ent_coef,train/Main_losses,train/ent_coef_loss,train/Beta,train/MSE_losses
4,25.25,25.25,101,0,1805,,,,,,,,,,,,,
8,20.5,20.5,164,0,201,-2.688671112060547,0.4720425307750702,0.001,0.06461881101131439,-2.688671112060547,-2.688671112060547,63,0.06461881101131439,0.9399048089981079,-2.688671112060547,-0.10371309518814087,0.0,0.4720425307750702
12,19.666666666666668,19.666666666666668,236,1,142,-3.042468786239624,0.41754254698753357,0.001,0.07138989865779877,-3.042468786239624,-3.042468786239624,135,0.07138989865779877,0.8745197653770447,-3.042468786239624,-0.22591570019721985,0.0,0.41754254698753357
16,18.75,18.75,300,2,125,-3.33569073677063,0.44262418150901794,0.001,0.10620348155498505,-3.33569073677063,-3.33569073677063,199,0.10620348155498505,0.8202536702156067,-3.33569073677063,-0.3329893946647644,0.0,0.44262418150901794
20,19.25,19.25,385,3,115,-3.755728006362915,0.407430499792099,0.001,0.12536627054214478,-3.755728006362915,-3.755728006362915,284,0.12536627054214478,0.7533039450645447,-3.755728006362915,-0.4770248532295227,0.0,0.407430499792099
24,18.875,18.875,453,4,111,-4.036284446716309,0.43709754943847656,0.001,0.16074371337890625,-4.036284446716309,-4.036284446716309,352,0.16074371337890625,0.7036749124526978,-4.036284446716309,-0.5922638177871704,0.0,0.43709754943847656
28,18.857142857142858,18.857142857142858,528,4,107,-4.218218803405762,0.38555246591567993,0.001,0.11462175846099854,-4.218218803405762,-4.218218803405762,427,0.11462175846099854,0.6529116630554199,-4.218218803405762,-0.7083593606948853,0.0,0.38555246591567993
32,18.59375,18.59375,595,5,105,-4.630228519439697,0.3906421661376953,0.001,0.11064279079437256,-4.630228519439697,-4.630228519439697,494,0.11064279079437256,0.6106573939323425,-4.630228519439697,-0.8307048678398132,0.0,0.3906421661376953
36,18.13888888888889,18.13888888888889,653,6,103,-4.887927532196045,0.3339584469795227,0.001,0.13490937650203705,-4.887927532196045,-4.887927532196045,552,0.13490937650203705,0.5764645934104919,-4.887927532196045,-0.9007115364074707,0.0,0.3339584469795227
40,24.5,24.5,980,9,98,-6.089696884155273,0.2806395888328552,0.001,0.15075567364692688,-6.089696884155273,-6.089696884155273,879,0.15075567364692688,0.4218950867652893,-6.089696884155273,-1.1676392555236816,0.0,0.2806395888328552
