time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/MSE_loss,train/critic_los,train/learning_rate,train/RL_loss,train/MSE_losses,train/Main_losses,train/Beta,train/critic_loss,train/actor_loss,train/n_updates,train/loss
43,4,10.75,10.75,3648,0,,,,,,,,,,,
155,8,19.375,19.375,556,0,0.19841121137142181,0.010825155302882195,0.001,-0.8899187445640564,0.26542849093675613,1.758565776877933,0.988,0.14256811623990134,-0.863867751426167,37,1.0703840255737305
1274,12,106.16666666666667,106.16666666666667,248,5,0.22093698382377625,0.016121242195367813,0.001,-2.625555992126465,0.2530136241995055,0.2175833123853837,0.98,0.02277307969286513,-2.261950251699864,770,-0.4603734016418457
3274,16,204.625,204.625,188,17,0.23468033969402313,0.03959912806749344,0.001,-6.584749698638916,0.2545077882409096,-3.607302068710327,0.972,0.06290567640960217,-6.081117841720581,2704,-4.303656578063965
4838,20,241.9,241.9,171,28,0.19011290371418,0.07066304981708527,0.001,-10.211447715759277,0.2550384559698643,-7.529127155580828,0.964,0.09819253142848311,-9.987697924337079,4453,-8.378759384155273
6838,24,284.9166666666667,284.9166666666667,171,39,0.2499486356973648,0.0575840100646019,0.001,-14.13819694519043,0.25286236053705213,-10.910888469696046,0.956,0.1252586244493723,-13.328252731323243,6268,-11.748687744140625
8705,28,310.89285714285717,310.89285714285717,168,51,0.2675950229167938,0.13173094391822815,0.001,-16.792085647583008,0.25330956774950025,-14.178234699249268,0.948,0.1521934490390122,-16.57960929107666,8135,-14.255285263061523
10477,32,327.40625,327.40625,166,62,0.2541366219520569,0.08726657927036285,0.001,-19.7493896484375,0.2549886428117752,-16.86869641494751,0.94,0.16209644316136837,-19.265589561462402,9907,-17.360506057739258
12297,36,341.5833333333333,341.5833333333333,165,74,0.2597041130065918,0.13572846353054047,0.001,-21.867538452148438,0.25287473797798155,-19.615760159492492,0.932,0.19691097539616748,-21.97255265712738,11727,-19.44709587097168
14297,40,357.425,357.425,164,87,0.2312089055776596,0.12972289323806763,0.001,-24.70955467224121,0.25464517521858215,-22.635843879699706,0.924,0.19967556041479112,-24.98876518249512,13727,-22.573184967041016
16297,44,370.3863636363636,370.3863636363636,163,99,0.253922700881958,0.15075254440307617,0.001,-29.135482788085938,0.2527142589688301,-26.082907348632812,0.916,0.30042501901090146,-28.39776992034912,15727,-26.809551239013672
18099,48,377.0625,377.0625,162,111,0.23249103128910065,0.14546670019626617,0.001,-31.23369789123535,0.25358790514484936,-29.02515177695167,0.908,0.316150555004742,-31.327730001992737,17529,-29.122678756713867
19837,52,381.4807692307692,381.4807692307692,160,123,0.2615514099597931,0.11324754357337952,0.001,-33.793148040771484,0.2540224552154541,-31.662987396240233,0.9,0.2517343695089221,-33.949189544677736,19529,-31.439186096191406
