time/episodes,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/MSE_losses,train/MSE_loss,train/RL_loss,train/critic_loss,train/Beta,train/loss,train/actor_loss,train/Main_losses,train/critic_los,train/n_updates,train/learning_rate
4,0,23.0,23.0,92,3875,,,,,,,,,,,
8,0,37.25,37.25,298,314,0.2671058447315143,0.3055237829685211,-1.3359774351119995,0.004127193621220963,0.988,1.6825975179672241,-1.191520081116603,1.447485673886079,0.005393145605921745,138,0.001
12,5,108.25,108.25,1299,226,0.2524738061921041,0.2574976980686188,-2.875464916229248,0.03736376620678553,0.98,-0.351987361907959,-2.582421396011697,-0.10817803924245045,0.1722293496131897,867,0.001
16,15,184.5,184.5,2952,186,0.25238552564382555,0.23789916932582855,-6.0876665115356445,0.08204961880855262,0.972,-3.7752864360809326,-5.63534453010559,-3.1821571464538576,0.0450059175491333,2439,0.001
20,26,234.2,234.2,4684,175,0.25342279851436617,0.23827771842479706,-9.39996337890625,0.23316394797591275,0.964,-7.10296630859375,-9.225854053497315,-6.7828581937154135,0.22878706455230713,4161,0.001
24,38,271.5,271.5,6516,171,0.25296239227056505,0.2666665315628052,-12.564520835876465,0.33706617340445516,0.956,-10.015188217163086,-12.49422299194336,-10.075902404785156,0.20588532090187073,5924,0.001
28,50,304.14285714285717,304.14285714285717,8516,167,0.2534902898669243,0.22115980088710785,-17.167646408081055,0.3380854414179921,0.948,-15.071051597595215,-16.38329612350464,-13.98020830154419,0.30029717087745667,7924,0.001
32,63,328.625,328.625,10516,165,0.2522782402634621,0.22403369843959808,-20.664716720581055,0.3601804898455739,0.94,-18.558799743652344,-19.961003295898436,-17.58958790588379,0.27170538902282715,9924,0.001
36,76,347.6666666666667,347.6666666666667,12516,164,0.25295859736204146,0.20509910583496094,-23.021156311035156,0.32819496442377566,0.932,-21.10963249206543,-23.378153480529786,-21.020579437255858,0.5019291043281555,11924,0.001
40,88,362.9,362.9,14516,163,0.2530548260807991,0.2434798777103424,-27.17521858215332,0.31551116205751895,0.924,-24.925464630126953,-26.654066413879395,-24.31583982849121,0.38695386052131653,13924,0.001
44,101,375.3636363636364,375.3636363636364,16516,162,0.25660850024223325,0.23919999599456787,-30.495372772216797,0.2930565347969532,0.916,-28.30430030822754,-29.97263282775879,-27.62209900665283,0.15657010674476624,15924,0.001
48,114,385.75,385.75,18516,161,0.26247838312387467,0.2602623999118805,-33.55816650390625,0.3228213821798563,0.908,-31.194984436035156,-33.115794174194335,-30.732490478515626,0.16041763126850128,17924,0.001
52,127,394.53846153846155,394.53846153846155,20516,161,0.26593067705631257,0.19807283580303192,-36.91712188720703,0.2948666734546423,0.9,-35.13446807861328,-36.24530531311035,-33.85192929077149,0.34306567907333374,19924,0.001
56,139,402.07142857142856,402.07142857142856,22516,161,0.26000943368673324,0.24640792608261108,-39.09364318847656,0.3375752038359642,0.892,-36.89568328857422,-39.21837167358398,-36.89908755493164,0.44417500495910645,21924,0.001
60,152,408.6,408.6,24516,160,0.25933972322940824,0.21495383977890015,-42.302490234375,0.34806128342449666,0.884,-40.40229797363281,-42.07804423522949,-39.78548098754883,0.2068544328212738,23924,0.001
64,165,414.3125,414.3125,26516,160,0.2552098694443703,0.2926033139228821,-45.89268493652344,0.41111875012516974,0.876,-43.3294792175293,-44.98544613647461,-42.749807540893556,0.3489066958427429,25924,0.001
68,177,419.3529411764706,419.3529411764706,28516,160,0.26269397693872454,0.2661180794239044,-48.84423065185547,0.3240872750729322,0.868,-46.534324645996094,-47.94927758789063,-45.66909384155274,0.19838234782218933,27924,0.001
72,190,423.8333333333333,423.8333333333333,30516,159,0.26462038880586625,0.2522515654563904,-51.16032791137695,0.4096031263619661,0.86,-48.990962982177734,-50.76947282409668,-48.49373728942871,0.22198131680488586,29924,0.001
76,203,427.8421052631579,427.8421052631579,32516,159,0.2647245501875877,0.24915535748004913,-54.25729751586914,0.45848068955540655,0.852,-52.13449478149414,-53.74594392395019,-51.49049057006836,1.8537148237228394,31924,0.001
80,216,431.45,431.45,34516,159,0.269860588490963,0.2537401020526886,-56.245697021484375,0.4885794392377138,0.844,-54.104129791259766,-56.541934371948244,-54.26431112670898,0.5888893604278564,33924,0.001
84,228,434.7142857142857,434.7142857142857,36516,159,0.2625465303063393,0.23411162197589874,-60.573455810546875,0.5308791539669037,0.836,-58.61628341674805,-59.18058801269531,-56.985698959350586,0.192453533411026,35924,0.001
