time/total_timesteps,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/MSE_loss,train/n_updates,train/critic_los,train/Main_losses,train/RL_loss,train/MSE_losses,train/Beta
83,3849,20.75,0,20.75,4,,,,,,,,,,,
130,574,16.25,0,16.25,8,0.0290015060454607,0.001,-1.256108323733012,-1.1795716285705566,1.383527159690857,32,0.025855764746665955,-1.256108323733012,-1.1795716285705566,1.3918842871983845,0.0
154,409,12.833333333333334,0,12.833333333333334,12,0.020363821803281706,0.001,-1.3171685536702473,-1.3506109714508057,1.3961364030838013,56,0.015498303808271885,-1.3171685536702473,-1.3506109714508057,1.4236088593800862,0.0
177,342,11.0625,0,11.0625,16,0.028111473967631657,0.001,-1.3538905382156372,-1.404858946800232,1.4392510652542114,79,0.026757048442959785,-1.3538905382156372,-1.404858946800232,1.5083370606104534,0.0
201,301,10.05,0,10.05,20,0.03294160061826309,0.001,-1.4785678784052532,-1.4850995540618896,1.5635204315185547,103,0.03142736479640007,-1.4785678784052532,-1.4850995540618896,1.5460859537124634,0.0
225,276,9.375,0,9.375,24,0.04380896252890428,0.001,-1.4830785195032756,-1.608907699584961,1.4272493124008179,127,0.056020524352788925,-1.4830785195032756,-1.608907699584961,1.4806994994481404,0.0
249,258,8.892857142857142,0,8.892857142857142,28,0.03585779697944721,0.001,-1.5649017890294392,-1.5037468671798706,1.6530495882034302,151,0.044168878346681595,-1.5649017890294392,-1.5037468671798706,1.5716129938761394,0.0
272,245,8.5,1,8.5,32,0.02781013771891594,0.001,-1.641519029935201,-1.6938869953155518,1.3538199663162231,174,0.015152471140027046,-1.641519029935201,-1.6938869953155518,1.4851871331532795,0.0
295,234,8.194444444444445,1,8.194444444444445,36,0.02727635360012452,0.001,-1.6662187576293945,-1.7235418558120728,1.4660909175872803,198,0.014288129284977913,-1.6662187576293945,-1.7235418558120728,1.5702480872472127,0.0
319,228,7.975,1,7.975,40,0.024553844705224037,0.001,-1.692348877588908,-1.699704885482788,1.5735079050064087,221,0.011016730219125748,-1.692348877588908,-1.699704885482788,1.5729289452234905,0.0
342,221,7.7727272727272725,1,7.7727272727272725,44,0.022356408834457397,0.001,-1.7421814600626628,-1.7426857948303223,1.4652608633041382,244,0.010639488697052002,-1.7421814600626628,-1.7426857948303223,1.5209602117538452,0.0
365,216,7.604166666666667,1,7.604166666666667,48,0.025791407252351444,0.001,-1.7483525276184082,-1.7678875923156738,1.5808062553405762,267,0.016737043857574463,-1.7483525276184082,-1.7678875923156738,1.5747081836064656,0.0
389,212,7.480769230769231,1,7.480769230769231,52,0.024847296221802633,0.001,-1.813487966855367,-1.8040310144424438,1.537434458732605,291,0.03816891461610794,-1.813487966855367,-1.8040310144424438,1.5435783863067627,0.0
413,208,7.375,1,7.375,56,0.022040745864311855,0.001,-1.8524829546610515,-1.8875609636306763,1.597057819366455,315,0.007813379168510437,-1.8524829546610515,-1.8875609636306763,1.5524304707845051,0.0
435,204,7.25,2,7.25,60,0.037987759336829185,0.001,-1.8244002262751262,-1.8566362857818604,1.6298620700836182,338,0.04789109528064728,-1.8244002262751262,-1.8566362857818604,1.6556488672892253,0.0
459,202,7.171875,2,7.171875,64,0.030890298075973988,0.001,-1.8924840291341145,-1.855613350868225,1.6031349897384644,361,0.027064703404903412,-1.8924840291341145,-1.855613350868225,1.5968442757924397,0.0
482,199,7.088235294117647,2,7.088235294117647,68,0.01713567040860653,0.001,-1.9582778612772624,-1.984582781791687,1.536980152130127,384,0.023775916546583176,-1.9582778612772624,-1.984582781791687,1.5562183856964111,0.0
506,197,7.027777777777778,2,7.027777777777778,72,0.031727611708144345,0.001,-1.9700491031010945,-1.9945592880249023,1.517663598060608,408,0.04259362444281578,-1.9700491031010945,-1.9945592880249023,1.5829314788182576,0.0
530,195,6.973684210526316,2,6.973684210526316,76,0.022961532852301996,0.001,-2.033384402592977,-2.1253838539123535,1.5145587921142578,432,0.03510330989956856,-2.033384402592977,-2.1253838539123535,1.5596275329589844,0.0
552,193,6.9,2,6.9,80,0.031212810116509598,0.001,-1.983963410059611,-2.002396821975708,1.5782831907272339,454,0.03411465883255005,-1.983963410059611,-2.002396821975708,1.6404672861099243,0.0
575,192,6.845238095238095,2,6.845238095238095,84,0.04354402795433998,0.001,-1.9955331484476726,-2.057328939437866,1.6466442346572876,477,0.0218447707593441,-1.9955331484476726,-2.057328939437866,1.6314863761266072,0.0
598,190,6.795454545454546,3,6.795454545454546,88,0.03387784802665313,0.001,-2.0540173848470054,-2.056572914123535,1.6265883445739746,501,0.017554420977830887,-2.0540173848470054,-2.056572914123535,1.6289535363515217,0.0
622,189,6.760869565217392,3,6.760869565217392,92,0.030519987146059673,0.001,-2.1369216442108154,-2.2080252170562744,1.4746977090835571,524,0.03140097111463547,-2.1369216442108154,-2.2080252170562744,1.5938094059626262,0.0
646,188,6.729166666666667,3,6.729166666666667,96,0.02607905895759662,0.001,-2.1395318508148193,-2.1568377017974854,1.6342122554779053,549,0.02137502282857895,-2.1395318508148193,-2.1568377017974854,1.6062392393747966,0.0
668,187,6.68,3,6.68,100,0.02717776671051979,0.001,-2.186262766520182,-2.2055559158325195,1.5675103664398193,570,0.025983136147260666,-2.186262766520182,-2.2055559158325195,1.5841809908548992,0.0
690,186,6.07,3,6.07,104,0.03452124670147896,0.001,-2.1363282203674316,-2.1900792121887207,1.623520016670227,593,0.047688551247119904,-2.1363282203674316,-2.1900792121887207,1.668140172958374,0.0
714,185,5.84,3,5.84,108,0.03925318084657192,0.001,-2.2024558385213218,-2.2433574199676514,1.60304594039917,616,0.03386912867426872,-2.2024558385213218,-2.2433574199676514,1.6278749306996663,0.0
736,184,5.82,3,5.82,112,0.03256406001746655,0.001,-2.2622643311818442,-2.288579225540161,1.561804175376892,638,0.015363147482275963,-2.2622643311818442,-2.288579225540161,1.5579839547475178,0.0
758,183,5.81,4,5.81,116,0.04691828638315201,0.001,-2.2036914825439453,-2.161611795425415,1.7423216104507446,661,0.033451683819293976,-2.2036914825439453,-2.161611795425415,1.717517912387848,0.0
779,182,5.78,4,5.78,120,0.05722056105732918,0.001,-2.347775459289551,-2.4471449851989746,1.5633130073547363,681,0.05230787396430969,-2.347775459289551,-2.4471449851989746,1.5939998030662537,0.0
803,182,5.78,4,5.78,124,0.05107787810266018,0.001,-2.2669663429260254,-2.106912136077881,1.7607122659683228,705,0.06342640519142151,-2.2669663429260254,-2.106912136077881,1.6735315720240276,0.0
827,181,5.78,4,5.78,128,0.034308635629713535,0.001,-2.348496754964193,-2.3067891597747803,1.6673671007156372,729,0.022274013608694077,-2.348496754964193,-2.3067891597747803,1.621145248413086,0.0
851,180,5.79,4,5.79,132,0.03151898986349503,0.001,-2.3368097146352134,-2.251145601272583,1.773290991783142,753,0.023824498057365417,-2.3368097146352134,-2.251145601272583,1.6574851274490356,0.0
874,180,5.79,4,5.79,136,0.04060300998389721,0.001,-2.3686145146687827,-2.3368966579437256,1.6192179918289185,777,0.035087309777736664,-2.3686145146687827,-2.3368966579437256,1.6274146636327107,0.0
896,179,5.77,4,5.77,140,0.042273485412200294,0.001,-2.3350882530212402,-2.346888303756714,1.6960786581039429,799,0.027468949556350708,-2.3350882530212402,-2.346888303756714,1.6636208693186443,0.0
920,179,5.78,5,5.78,144,0.03760279652973016,0.001,-2.4508376121520996,-2.5251173973083496,1.5189788341522217,822,0.03654659911990166,-2.4508376121520996,-2.5251173973083496,1.6199576457341511,0.0
943,178,5.78,5,5.78,148,0.04903274029493332,0.001,-2.4894495010375977,-2.553861618041992,1.6088889837265015,845,0.03852497786283493,-2.4894495010375977,-2.553861618041992,1.6018773913383484,0.0
967,178,5.78,5,5.78,152,0.04031929994622866,0.001,-2.4351119995117188,-2.4214248657226562,1.6498632431030273,869,0.026183705776929855,-2.4351119995117188,-2.4214248657226562,1.6531384785970051,0.0
991,177,5.78,5,5.78,156,0.034648212138563395,0.001,-2.5324086348215737,-2.5098941326141357,1.5999953746795654,893,0.01899859309196472,-2.5324086348215737,-2.5098941326141357,1.6115986108779907,0.0
1014,177,5.79,5,5.79,160,0.03282671452810367,0.001,-2.504051446914673,-2.5696845054626465,1.6053948402404785,916,0.01995733566582203,-2.504051446914673,-2.5696845054626465,1.6580886443456013,0.0
1037,176,5.78,5,5.78,164,0.06080426244686047,0.001,-2.5509037176767984,-2.6504900455474854,1.624448537826538,940,0.031115910038352013,-2.5509037176767984,-2.6504900455474854,1.6231409708658855,0.0
