time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/critic_loss,train/RL_loss,train/Beta,train/critic_los,train/loss,train/n_updates,train/MSE_losses,train/learning_rate,train/Main_losses,train/MSE_loss
4,11.25,0,11.25,2699,45,,,,,,,,,,,
8,11.75,0,11.75,3064,94,,,,,,,,,,,
12,10.416666666666666,0,10.416666666666666,625,125,-1.0495975812276204,0.027643716273208458,-1.0316710472106934,0.0,0.01802494376897812,-1.0316710472106934,26,1.0892829497655232,0.001,-1.0495975812276204,1.1645137071609497
16,9.3125,0,9.3125,433,149,-1.1509240070978801,0.006132038387780388,-1.1328459978103638,0.0,0.005567644257098436,-1.1328459978103638,49,1.1872566938400269,0.001,-1.1509240070978801,1.1621956825256348
20,8.65,0,8.65,349,173,-1.1906517346700032,0.01162352024887999,-1.2451776266098022,0.0,0.011606195941567421,-1.2451776266098022,73,1.1970874865849812,0.001,-1.1906517346700032,1.0532042980194092
24,8.208333333333334,0,8.208333333333334,305,197,-1.2635778586069744,0.014486229823281368,-1.220889687538147,0.0,0.01977447420358658,-1.220889687538147,97,1.2963776191075642,0.001,-1.2635778586069744,1.2622017860412598
28,7.892857142857143,0,7.892857142857143,277,221,-1.3124938011169434,0.01719743013381958,-1.31328284740448,0.0,0.013931961730122566,-1.31328284740448,121,1.5028904279073079,0.001,-1.3124938011169434,1.5576461553573608
32,7.65625,0,7.65625,258,245,-1.3852537075678508,0.01664187169323365,-1.3916271924972534,0.0,0.017834335565567017,-1.3916271924972534,145,1.4104180335998535,0.001,-1.3852537075678508,1.3823573589324951
36,7.472222222222222,1,7.472222222222222,244,269,-1.4454635381698608,0.018085626574854057,-1.478516697883606,0.0,0.016052991151809692,-1.478516697883606,169,1.4214845498402913,0.001,-1.4454635381698608,1.3069775104522705
40,7.275,1,7.275,233,291,-1.4684404532114665,0.01429071743041277,-1.446980595588684,0.0,0.009442141279578209,-1.446980595588684,192,1.4106463193893433,0.001,-1.4684404532114665,1.4585416316986084
44,7.159090909090909,1,7.159090909090909,226,315,-1.4997365077336628,0.020165080204606056,-1.4685851335525513,0.0,0.017303846776485443,-1.4685851335525513,215,1.4376235802968342,0.001,-1.4997365077336628,1.466840386390686
48,7.041666666666667,1,7.041666666666667,219,338,-1.5402828852335613,0.022020288556814194,-1.459572434425354,0.0,0.03003428503870964,-1.459572434425354,238,1.5021806557973225,0.001,-1.5402828852335613,1.5390212535858154
52,6.961538461538462,1,6.961538461538462,214,362,-1.5455669164657593,0.02312267090504368,-1.505715250968933,0.0,0.025523411110043526,-1.505715250968933,262,1.5445408423741658,0.001,-1.5455669164657593,1.5647579431533813
56,6.892857142857143,1,6.892857142857143,209,386,-1.6172599792480469,0.026157200026015442,-1.6499019861221313,0.0,0.02654511108994484,-1.6499019861221313,286,1.5000070730845134,0.001,-1.6172599792480469,1.5147799253463745
60,6.833333333333333,1,6.833333333333333,205,410,-1.6681125561396282,0.01914312302445372,-1.6295666694641113,0.0,0.022653860971331596,-1.6295666694641113,310,1.4868462880452473,0.001,-1.6681125561396282,1.4793188571929932
64,6.78125,2,6.78125,202,434,-1.6804803609848022,0.02077171082297961,-1.6978100538253784,0.0,0.024749640375375748,-1.6978100538253784,334,1.4958476622899373,0.001,-1.6804803609848022,1.4034744501113892
68,6.735294117647059,2,6.735294117647059,199,458,-1.7203823328018188,0.01509662193711847,-1.7353320121765137,0.0,0.0038763212505728006,-1.7353320121765137,358,1.5300473769505818,0.001,-1.7203823328018188,1.4852081537246704
72,6.680555555555555,2,6.680555555555555,196,481,-1.7776639858881633,0.01912400747338931,-1.8144609928131104,0.0,0.055452123284339905,-1.8144609928131104,382,1.4952235221862793,0.001,-1.7776639858881633,1.407539963722229
76,6.631578947368421,2,6.631578947368421,194,504,-1.8041952053705852,0.018604988387475412,-1.7711526155471802,0.0,0.016364306211471558,-1.7711526155471802,404,1.505497415860494,0.001,-1.8041952053705852,1.533581256866455
80,6.6,2,6.6,193,528,-1.807106574376424,0.02315800233433644,-1.7649648189544678,0.0,0.04816071689128876,-1.7649648189544678,428,1.585825244585673,0.001,-1.807106574376424,1.6917492151260376
84,6.571428571428571,2,6.571428571428571,191,552,-1.9091299374898274,0.02363948244601488,-1.943966269493103,0.0,0.01480155624449253,-1.943966269493103,452,1.4874472220738728,0.001,-1.9091299374898274,1.4654704332351685
88,6.545454545454546,3,6.545454545454546,189,576,-1.8585320711135864,0.04242083057761192,-1.8100826740264893,0.0,0.04398328438401222,-1.8100826740264893,476,1.555232326189677,0.001,-1.8585320711135864,1.567507028579712
92,6.510869565217392,3,6.510869565217392,188,599,-1.9290363192558289,0.030430437251925468,-1.9252210855484009,0.0,0.02852056547999382,-1.9252210855484009,499,1.595926821231842,0.001,-1.9290363192558289,1.605816125869751
96,6.489583333333333,3,6.489583333333333,186,623,-1.892977277437846,0.030385305484135944,-1.868649959564209,0.0,0.018249962478876114,-1.868649959564209,523,1.6252166430155437,0.001,-1.892977277437846,1.6707834005355835
100,6.45,3,6.45,185,645,-2.099879264831543,0.02823905646800995,-2.0588791370391846,0.0,0.025566810742020607,-2.0588791370391846,545,1.4361940622329712,0.001,-2.099879264831543,1.3971961736679077
104,6.23,3,6.23,184,668,-1.996361533800761,0.03629773482680321,-1.9556680917739868,0.0,0.061320699751377106,-1.9556680917739868,568,1.610150694847107,0.001,-1.996361533800761,1.644397497177124
108,5.97,3,5.97,183,691,-2.0545949935913086,0.03092682734131813,-2.1077094078063965,0.0,0.02620423212647438,-2.1077094078063965,591,1.5498903393745422,0.001,-2.0545949935913086,1.494774341583252
112,5.89,3,5.89,182,714,-2.0304126739501953,0.02747714100405574,-2.0167324542999268,0.0,0.021237414330244064,-2.0167324542999268,615,1.6049221356709797,0.001,-2.0304126739501953,1.5665531158447266
116,5.88,4,5.88,181,737,-2.052877942721049,0.03210470639169216,-2.0648412704467773,0.0,0.023246455937623978,-2.0648412704467773,637,1.6138297319412231,0.001,-2.052877942721049,1.5604970455169678
120,5.87,4,5.87,181,760,-2.150038957595825,0.03072656566898028,-2.1953933238983154,0.0,0.010160490870475769,-2.1953933238983154,660,1.589279055595398,0.001,-2.150038957595825,1.5855883359909058
124,5.87,4,5.87,180,784,-2.1899922688802085,0.03495818407585224,-2.1202337741851807,0.0,0.06864592432975769,-2.1202337741851807,684,1.5703775882720947,0.001,-2.1899922688802085,1.634906530380249
128,5.87,4,5.87,179,808,-2.130827029546102,0.03202168426165978,-2.2651431560516357,0.0,0.02282809652388096,-2.2651431560516357,708,1.6435287396113079,0.001,-2.130827029546102,1.5326745510101318
132,5.87,4,5.87,178,832,-2.1679859161376953,0.0450410811851422,-2.2616961002349854,0.0,0.03407512605190277,-2.2616961002349854,732,1.642644206682841,0.001,-2.1679859161376953,1.5931288003921509
136,5.86,4,5.86,178,855,-2.23283322652181,0.039239226219554744,-2.1759047508239746,0.0,0.02407757006585598,-2.1759047508239746,755,1.5723166068394978,0.001,-2.23283322652181,1.6042431592941284
140,5.86,4,5.86,177,877,-2.2118051052093506,0.04061745442450047,-2.111926794052124,0.0,0.01972709782421589,-2.111926794052124,777,1.6187376379966736,0.001,-2.2118051052093506,1.6634396314620972
144,5.85,5,5.85,177,900,-2.280437390009562,0.033949063159525394,-2.309786796569824,0.0,0.04513902962207794,-2.309786796569824,801,1.6170498530069988,0.001,-2.280437390009562,1.6078866720199585
148,5.86,5,5.86,176,924,-2.337057590484619,0.041189402962724365,-2.297931432723999,0.0,0.022299226373434067,-2.297931432723999,824,1.56659996509552,0.001,-2.337057590484619,1.557186245918274
152,5.86,5,5.86,176,948,-2.320524056752523,0.03813334616521994,-2.248793363571167,0.0,0.05524170398712158,-2.248793363571167,848,1.5968597332636516,0.001,-2.320524056752523,1.655970573425293
156,5.86,5,5.86,175,972,-2.380678415298462,0.03288437146693468,-2.4119882583618164,0.0,0.030581429600715637,-2.4119882583618164,872,1.5591927369435628,0.001,-2.380678415298462,1.5445910692214966
160,5.85,5,5.85,174,995,-2.396691878636678,0.034860906501611076,-2.366447925567627,0.0,0.023629140108823776,-2.366447925567627,896,1.5941357612609863,0.001,-2.396691878636678,1.6195684671401978
164,5.84,5,5.84,174,1018,-2.386834462483724,0.04232068210840225,-2.4678571224212646,0.0,0.03347529470920563,-2.4678571224212646,918,1.6153957843780518,0.001,-2.386834462483724,1.542136788368225
168,5.83,5,5.83,174,1041,-2.4529229402542114,0.05063155554234981,-2.435028314590454,0.0,0.015608461573719978,-2.435028314590454,941,1.6579136848449707,0.001,-2.4529229402542114,1.701499581336975
172,5.84,6,5.84,174,1065,-2.373844861984253,0.03168071527034044,-2.4077858924865723,0.0,0.023427125066518784,-2.4077858924865723,965,1.6756746371587117,0.001,-2.373844861984253,1.6597596406936646
176,5.84,6,5.84,173,1088,-2.44159205754598,0.03850183561444283,-2.2915072441101074,0.0,0.03304164111614227,-2.2915072441101074,988,1.6176313956578572,0.001,-2.44159205754598,1.712667465209961
180,5.82,6,5.82,173,1110,-2.5140148798624673,0.0331931434571743,-2.4794235229492188,0.0,0.0291852168738842,-2.4794235229492188,1010,1.5793288946151733,0.001,-2.5140148798624673,1.6355828046798706
184,5.81,6,5.81,173,1133,-2.5671144326527915,0.0289315568904082,-2.483571767807007,0.0,0.03154211491346359,-2.483571767807007,1033,1.542286475499471,0.001,-2.5671144326527915,1.6036297082901
188,5.79,6,5.79,172,1155,-2.5094497998555503,0.04019107359151045,-2.617307424545288,0.0,0.06849464029073715,-2.617307424545288,1056,1.622615377108256,0.001,-2.5094497998555503,1.5844448804855347
192,5.79,6,5.79,172,1178,-2.468665917714437,0.037109008679787316,-2.5330755710601807,0.0,0.05367525294423103,-2.5330755710601807,1079,1.641849160194397,0.001,-2.468665917714437,1.5689300298690796
