time/total_timesteps,train/loss,time/time_elapsed,train/RL_loss,train/n_updates,train/actor_loss,train/critic_loss,time/episodes,train/MSE_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,train/ent_coef_loss,train/Beta,train/Main_losses,train/critic_los,train/ent_coef,rollout/ep_len_mean,train/MSE_losses
800,27.721179962158203,7,27.721179962158203,699,27.721179962158203,0.058366842567920685,4,5.634202480316162,0.001,100,-1583.993333,-1.0027987957000732,0.0,27.721179962158203,0.058366842567920685,0.5032857060432434,200.0,5.634202480316162
1600,52.41107177734375,17,52.41107177734375,1499,52.41107177734375,0.04567509889602661,8,5.526811599731445,0.001,93,-1476.1207335,-0.8678779006004333,-0.0,52.41107177734375,0.04567509889602661,0.2616035044193268,200.0,5.526811599731445
2400,72.46975708007812,26,72.46975708007812,2299,72.46975708007812,0.09771130234003067,12,4.609175682067871,0.001,91,-1373.5125974166667,0.11965557932853699,-0.0,72.46975708007812,0.09771130234003067,0.21138764917850494,200.0,4.609175682067871
3200,78.15663146972656,35,78.15663146972656,3099,78.15663146972656,0.3361911177635193,16,3.5119102001190186,0.001,91,-1186.2368231875,-0.1382274031639099,-0.0,78.15663146972656,0.3361911177635193,0.22872333228588104,200.0,3.5119102001190186
4000,81.90788269042969,44,81.90788269042969,3899,81.90788269042969,0.7330461144447327,20,2.860015869140625,0.001,90,-1034.9592013,-0.40288710594177246,-0.0,81.90788269042969,0.7330461144447327,0.20335936546325684,200.0,2.860015869140625
4800,74.81163787841797,53,74.81163787841797,4699,74.81163787841797,0.9422756433486938,24,2.495384693145752,0.001,90,-896.7615613333334,-0.30156010389328003,-0.0,74.81163787841797,0.9422756433486938,0.15773537755012512,200.0,2.495384693145752
5600,88.4334945678711,62,88.4334945678711,5499,88.4334945678711,1.2674660682678223,28,2.2151026725769043,0.001,89,-794.9089055714285,-0.22260484099388123,-0.0,88.4334945678711,1.2674660682678223,0.12093401700258255,200.0,2.2151026725769043
6400,77.10981750488281,71,77.10981750488281,6299,77.10981750488281,2.0343000888824463,32,2.358438491821289,0.001,89,-714.23035553125,-0.0030263662338256836,-0.0,77.10981750488281,2.0343000888824463,0.10154374688863754,200.0,2.358438491821289
7200,80.3574447631836,80,80.3574447631836,7099,80.3574447631836,2.6490478515625,36,2.5180110931396484,0.001,89,-651.4396981388888,0.21204465627670288,-0.0,80.3574447631836,2.6490478515625,0.10610464215278625,200.0,2.5180110931396484
8000,72.8687744140625,89,72.8687744140625,7899,72.8687744140625,1.6735016107559204,40,2.4961328506469727,0.001,89,-601.418372875,0.30215662717819214,-0.0,72.8687744140625,1.6735016107559204,0.1185886561870575,200.0,2.4961328506469727
8800,58.927223205566406,98,58.927223205566406,8699,58.927223205566406,1.735377311706543,44,2.486520767211914,0.001,89,-552.462384090909,-0.6361628770828247,-0.0,58.927223205566406,1.735377311706543,0.11031989008188248,200.0,2.486520767211914
9600,61.11345672607422,107,61.11345672607422,9499,61.11345672607422,1.9923269748687744,48,2.7029285430908203,0.001,89,-520.8245776875,-0.21860268712043762,-0.0,61.11345672607422,1.9923269748687744,0.08944683521986008,200.0,2.7029285430908203
10400,69.35746765136719,116,69.35746765136719,10299,69.35746765136719,2.4350175857543945,52,2.2815728187561035,0.001,89,-492.3021306923077,0.8500202894210815,-0.0,69.35746765136719,2.4350175857543945,0.08280467242002487,200.0,2.2815728187561035
11200,57.7936897277832,125,57.7936897277832,11099,57.7936897277832,2.24127197265625,56,2.5800375938415527,0.001,89,-471.38244083928566,-0.09906421601772308,-0.0,57.7936897277832,2.24127197265625,0.07779093831777573,200.0,2.5800375938415527
12000,55.49575424194336,134,55.49575424194336,11899,55.49575424194336,2.4268150329589844,60,2.596797466278076,0.001,89,-449.70589744999995,-0.6992979049682617,-0.0,55.49575424194336,2.4268150329589844,0.06763352453708649,200.0,2.596797466278076
12800,49.825218200683594,143,49.825218200683594,12699,49.825218200683594,1.661424160003662,64,2.827355146408081,0.001,89,-428.976502640625,-0.16986340284347534,-0.0,49.825218200683594,1.661424160003662,0.06314306706190109,200.0,2.827355146408081
13600,45.72245788574219,152,45.72245788574219,13499,45.72245788574219,1.4884490966796875,68,2.761152744293213,0.001,89,-409.1606091764706,0.3205319046974182,-0.0,45.72245788574219,1.4884490966796875,0.05124584957957268,200.0,2.761152744293213
14400,44.260536193847656,161,44.260536193847656,14299,44.260536193847656,1.0782586336135864,72,3.0274710655212402,0.001,89,-389.7772973333333,-0.5625019073486328,-0.0,44.260536193847656,1.0782586336135864,0.04353249445557594,200.0,3.0274710655212402
15200,38.031532287597656,170,38.031532287597656,15099,38.031532287597656,1.5789964199066162,76,3.0109567642211914,0.001,89,-377.20019127631576,-0.520494282245636,-0.0,38.031532287597656,1.5789964199066162,0.041737187653779984,200.0,3.0109567642211914
16000,44.20745849609375,179,44.20745849609375,15899,44.20745849609375,1.1427135467529297,80,2.9101226329803467,0.001,89,-364.5037713375,-0.07835565507411957,-0.0,44.20745849609375,1.1427135467529297,0.03558050096035004,200.0,2.9101226329803467
16800,41.31401824951172,188,41.31401824951172,16699,41.31401824951172,1.0518007278442383,84,3.0562314987182617,0.001,88,-352.68694519047614,0.2838340401649475,-0.0,41.31401824951172,1.0518007278442383,0.031097788363695145,200.0,3.0562314987182617
17600,47.24128723144531,197,47.24128723144531,17499,47.24128723144531,0.8442332744598389,88,2.787470817565918,0.001,88,-342.18360670454547,0.3206794857978821,-0.0,47.24128723144531,0.8442332744598389,0.03207917511463165,200.0,2.787470817565918
18400,39.32941436767578,206,39.32941436767578,18299,39.32941436767578,1.247305154800415,92,2.985783576965332,0.001,88,-334.21659203260873,-0.6162455081939697,-0.0,39.32941436767578,1.247305154800415,0.032574042677879333,200.0,2.985783576965332
19200,43.83821487426758,216,43.83821487426758,19099,43.83821487426758,1.0198472738265991,96,2.9468441009521484,0.001,88,-327.60651867708333,-0.1613745540380478,-0.0,43.83821487426758,1.0198472738265991,0.03221333399415016,200.0,2.9468441009521484
20000,41.79966735839844,225,41.79966735839844,19899,41.79966735839844,1.1629562377929688,100,2.9220876693725586,0.001,88,-319.29790427,0.36356574296951294,-0.0,41.79966735839844,1.1629562377929688,0.028713075444102287,200.0,2.9220876693725586
20800,34.60778045654297,234,34.60778045654297,20699,34.60778045654297,1.1159846782684326,104,2.847113609313965,0.001,88,-263.10089589999995,0.5632997751235962,-0.0,34.60778045654297,1.1159846782684326,0.02177482657134533,200.0,2.847113609313965
21600,33.693729400634766,243,33.693729400634766,21499,33.693729400634766,0.8995763063430786,108,2.970695972442627,0.001,88,-214.29154165999998,0.34399765729904175,-0.0,33.693729400634766,0.8995763063430786,0.020867042243480682,200.0,2.970695972442627
22400,30.699140548706055,252,30.699140548706055,22299,30.699140548706055,1.1396437883377075,112,3.3351845741271973,0.001,88,-174.66027938000002,-0.65825355052948,-0.0,30.699140548706055,1.1396437883377075,0.01959044486284256,200.0,3.3351845741271973
23200,37.21784591674805,261,37.21784591674805,23099,37.21784591674805,1.0563182830810547,116,2.988450050354004,0.001,88,-155.58824500000003,-0.790516197681427,-0.0,37.21784591674805,1.0563182830810547,0.020573947578668594,200.0,2.988450050354004
24000,27.189102172851562,270,27.189102172851562,23899,27.189102172851562,0.6464633345603943,120,3.1809544563293457,0.001,88,-145.63021909,-1.042687177658081,-0.0,27.189102172851562,0.6464633345603943,0.02163024991750717,200.0,3.1809544563293457
24800,30.673845291137695,279,30.673845291137695,24699,30.673845291137695,0.6539095640182495,124,3.183922529220581,0.001,88,-143.44306372,-0.23008884489536285,-0.0,30.673845291137695,0.6539095640182495,0.024723513051867485,200.0,3.183922529220581
25600,28.132587432861328,288,28.132587432861328,25499,28.132587432861328,0.5570632815361023,128,4.970696926116943,0.001,88,-139.66940803,1.9936423301696777,-0.0,28.132587432861328,0.5570632815361023,0.028451155871152878,200.0,4.970696926116943
