time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,train/loss,train/RL_loss,train/MSE_loss,train/Beta,train/Main_losses,train/MSE_losses,train/critic_los
800,0,200.0,-1445.91772975,4,5052,,,,,,,,,,,
1600,0,200.0,-1376.439775,8,5041,,,,,,,,,,,
2400,0,200.0,-1284.9179013333335,12,5045,,,,,,,,,,,
3200,0,200.0,-1340.5658916875,16,5023,,,,,,,,,,,
4000,0,200.0,-1297.0808726999999,20,5026,,,,,,,,,,,
4800,0,200.0,-1292.451788375,24,5028,,,,,,,,,,,
5600,1,200.0,-1285.5477009642857,28,5026,,,,,,,,,,,
6400,1,200.0,-1255.85500471875,32,4999,,,,,,,,,,,
7200,1,200.0,-1243.5098766666665,36,5003,,,,,,,,,,,
8000,1,200.0,-1239.9978652,40,5007,,,,,,,,,,,
8800,1,200.0,-1232.4477288636363,44,5009,,,,,,,,,,,
9600,1,200.0,-1241.3057409166668,48,4904,,,,,,,,,,,
10400,3,200.0,-1228.6466632884617,52,2959,200,5.101265607476234,0.001,7.748109676837921,13.145559310913086,8.815543174743652,1.732006549835205,0.5,12.339255933761597,1.8364584958553314,0.5179518461227417
11200,8,200.0,-1165.47368325,56,1299,1000,0.06287702461704611,0.001,17.353313474655153,22.865446090698242,19.155033111572266,1.6132231950759888,0.46,21.055708560943604,1.6097370040416719,0.13068057596683502
12000,13,200.0,-1095.742637,60,874,1800,0.14532649889588356,0.001,26.30764404296875,31.63969612121582,28.75294303894043,1.3746446371078491,0.42,29.619811916351317,1.5772228813171387,0.10745975375175476
12800,18,200.0,-1040.141957,64,677,2600,0.3476162388920784,0.001,34.06497274398804,38.85369110107422,36.08724594116211,1.4560233354568481,0.38,37.202057647705075,1.6510974287986755,0.5514270663261414
13600,24,200.0,-989.3982086617648,68,566,3400,0.5561374278366565,0.001,40.99660369873047,45.99509048461914,43.13331604003906,1.6833971738815308,0.34,43.93658241271973,1.7293990921974183,0.4162617027759552
14400,29,200.0,-945.821590138889,72,494,4200,0.687218753695488,0.001,45.75168228149414,49.50448226928711,46.15632629394531,2.232105016708374,0.3,48.27783596038818,1.6841024363040924,0.400760293006897
15200,34,200.0,-904.1047395,76,443,5000,0.7325217387080193,0.001,48.58465263366699,47.25277328491211,45.08861541748047,1.6647368669509888,0.26,50.771920928955076,1.6825141775608063,0.48043835163116455
16000,39,200.0,-870.302168725,80,406,5800,0.9716817842423916,0.001,50.96225383758545,54.12694549560547,52.74544143676758,1.255911946296692,0.22,52.769609909057614,1.6430508649349214,0.6346250176429749
16800,44,200.0,-837.8428147857144,84,377,6600,1.0521684251725674,0.001,53.360958633422854,55.405426025390625,53.84281921386719,1.7362310886383057,0.18,54.84153285980224,1.6450824999809266,1.0076011419296265
17600,49,200.0,-805.2368216704546,88,353,7400,1.3638807275891305,0.001,53.70775691986084,59.996437072753906,58.71039962768555,1.8371970653533936,0.14,54.820450401306154,1.5895622813701629,1.0324304103851318
18400,54,200.0,-776.7047827826087,92,335,8200,1.553134973347187,0.001,54.688464584350584,51.42086410522461,50.534568786621094,1.7725920677185059,0.1,55.497444038391116,1.617958883047104,4.2295918464660645
19200,59,200.0,-748.0368945416667,96,320,9000,2.3912753316760065,0.001,55.00335800170898,53.54737091064453,53.121952056884766,1.4180636405944824,0.06,55.48167274475097,1.5943819403648376,1.487819790840149
20000,65,200.0,-725.2996104100001,100,307,9800,2.5259752103686335,0.001,55.345534591674806,55.30989074707031,55.1420783996582,1.6781232357025146,0.02,55.5206266784668,1.7509221482276915,3.4846248626708984
20800,70,200.0,-674.2844909400001,104,296,10600,3.3294016844034195,0.001,54.696824913024905,55.28642272949219,55.28642272949219,1.9206745624542236,0,54.696824913024905,2.0237222588062287,5.598384857177734
21600,74,200.0,-624.38668029,108,288,11400,3.5178406721353532,0.001,53.960460052490234,49.00611114501953,49.00611114501953,1.554457187652588,0,53.960460052490234,2.1186871194839476,4.943423748016357
22400,79,200.0,-586.18107218,112,280,12200,3.4861741092801095,0.001,53.37040790557862,53.50220489501953,53.50220489501953,1.8803255558013916,0,53.37040790557862,2.065254566669464,1.4599730968475342
23200,84,200.0,-534.1326154699999,116,273,13000,3.766865018606186,0.001,53.102999687194824,51.55057144165039,51.55057144165039,2.4273881912231445,0,53.102999687194824,2.080619729757309,1.5526323318481445
24000,89,200.0,-496.33672749,120,267,13800,3.9657843947410583,0.001,51.8166975402832,53.25291061401367,53.25291061401367,2.3538146018981934,0,51.8166975402832,2.0648702931404115,4.000982284545898
24800,94,200.0,-450.15438098999994,124,262,14600,3.7901169872283935,0.001,50.98822757720947,57.88471221923828,57.88471221923828,1.8920812606811523,0,50.98822757720947,2.0724521851539612,5.040731906890869
25600,99,200.0,-406.42031715999997,128,257,15400,3.7686219504475593,0.001,48.7970788192749,48.16340255737305,48.16340255737305,2.0949230194091797,0,48.7970788192749,2.061620309352875,2.192690849304199
26400,104,200.0,-366.98468383000005,132,253,16200,3.8189243412017824,0.001,48.89643753051758,47.51631546020508,47.51631546020508,2.0074946880340576,0,48.89643753051758,2.0892762434482575,4.081399440765381
27200,109,200.0,-328.43269889,136,249,17000,3.654696553349495,0.001,48.06161880493164,45.66156005859375,45.66156005859375,2.2116994857788086,0,48.06161880493164,2.1295057725906372,4.632631301879883
