rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/actor_loss,train/learning_rate,train/n_updates,train/Main_losses,train/MSE_loss,train/critic_los,train/RL_loss,train/Beta,train/critic_loss,train/MSE_losses,train/loss
200.0,-1335.70499975,5014,4,800,0,,,,,,,,,,,
200.0,-1234.820654375,4992,8,1600,0,,,,,,,,,,,
200.0,-1248.1378100833333,4955,12,2400,0,,,,,,,,,,,
200.0,-1263.4782249374998,4963,16,3200,0,,,,,,,,,,,
200.0,-1240.1375930499996,4971,20,4000,0,,,,,,,,,,,
200.0,-1311.9109426666666,4973,24,4800,0,,,,,,,,,,,
200.0,-1304.7482391071428,4975,28,5600,1,,,,,,,,,,,
200.0,-1300.4303870625,4977,32,6400,1,,,,,,,,,,,
200.0,-1292.33879925,4970,36,7200,1,,,,,,,,,,,
200.0,-1289.950906425,4970,40,8000,1,,,,,,,,,,,
200.0,-1271.437975181818,4973,44,8800,1,,,,,,,,,,,
200.0,-1264.7420851875,4975,48,9600,1,,,,,,,,,,,
200.0,-1267.2843753076922,3020,52,10400,3,7.4762036228179936,0.001,200,12.074666738510132,2.0114550590515137,0.5741232633590698,8.684823036193848,0.5,5.134194376766682,1.8393852424621582,13.713460922241211
200.0,-1203.8210005357141,1311,56,11200,8,17.88614755630493,0.001,1000,21.64152051925659,1.4983001947402954,0.05519828572869301,21.530790328979492,0.46,0.06624015424400569,1.6327709197998046,24.97688102722168
200.0,-1133.0415963666667,879,60,12000,13,26.818603515625,0.001,1800,30.209717750549316,1.4826101064682007,0.14612898230552673,28.0141544342041,0.42,0.15488903291523456,1.6148164081573486,31.127635955810547
200.0,-1071.489007375,681,64,12800,18,34.8380126953125,0.001,2600,37.95004165649414,1.5519635677337646,0.3283732831478119,36.00788116455078,0.38,0.3752432671189308,1.6379100847244263,38.95661163330078
200.0,-1013.884139514706,569,68,13600,23,40.873747177124024,0.001,3400,43.69415702819824,1.6705923080444336,0.4594205915927887,36.747894287109375,0.34,0.6390655414760112,1.6590645658969878,39.5879020690918
200.0,-960.8880945000001,497,72,14400,28,45.24586357116699,0.001,4200,47.74969589233398,1.4089510440826416,0.5838652849197388,38.076175689697266,0.3,0.7630465391278267,1.6692216217517852,40.18960189819336
200.0,-919.9281846315789,445,76,15200,34,48.71153732299805,0.001,5000,50.82756683349609,1.5712069272994995,0.9222202897071838,48.244075775146484,0.26,0.7712171071767807,1.6277151095867157,50.286643981933594
200.0,-880.5593179625,408,80,16000,39,50.42474426269531,0.001,5800,52.206044387817386,2.006014347076416,0.7696571350097656,55.657405853271484,0.22,0.9177675844728946,1.6193636500835418,57.86402130126953
200.0,-844.1031332142858,378,84,16800,44,52.87261653900146,0.001,6600,54.29713321685791,1.7679543495178223,1.000026822090149,54.83065414428711,0.18,0.9909080824255944,1.582796424627304,56.42181396484375
200.0,-812.8420463522726,355,88,17600,49,54.51617137908936,0.001,7400,55.645726623535154,1.4647375345230103,1.2748667001724243,53.39470672607422,0.14,1.224069420993328,1.613650417327881,54.420021057128906
200.0,-784.2892448913043,336,92,18400,54,55.517740898132324,0.001,8200,56.3201766204834,1.6024436950683594,0.8381989002227783,45.6292610168457,0.1,1.6875976353883744,1.6048714661598205,46.43048095703125
200.0,-758.9761148541667,321,96,19200,59,55.456019172668455,0.001,9000,55.936483459472655,1.511860728263855,1.3149561882019043,59.34214401245117,0.06,2.0288024401664733,1.601548147201538,59.79570388793945
200.0,-733.47187634,308,100,20000,64,54.78978073120117,0.001,9800,54.95202434539795,1.7901275157928467,1.0534318685531616,51.00852584838867,0.02,2.5642657154798507,1.6224366068840026,51.187538146972656
200.0,-688.78583488,298,104,20800,69,55.24321201324463,0.001,10600,55.24321201324463,1.7195290327072144,2.8939123153686523,57.554969787597656,0,2.1743825501203538,1.868885313272476,57.554969787597656
200.0,-649.35448679,289,108,21600,74,55.9340661239624,0.001,11400,55.9340661239624,2.0592195987701416,3.563061237335205,57.5849494934082,0,2.980093486905098,1.9545347344875337,57.5849494934082
200.0,-606.6843549299999,281,112,22400,79,55.17106983184814,0.001,12200,55.17106983184814,2.020056962966919,1.8482799530029297,53.113407135009766,0,2.9493304765224457,1.9364528906345368,53.113407135009766
200.0,-561.4936198400001,274,116,23200,84,55.498379440307616,0.001,13000,55.498379440307616,1.7668609619140625,3.162768840789795,68.47139739990234,0,3.0402325129508974,1.958542116880417,68.47139739990234
200.0,-523.3486598800001,268,120,24000,89,54.17779499053955,0.001,13800,54.17779499053955,2.108778953552246,1.3834564685821533,49.943359375,0,3.1543821722269056,2.043675947189331,49.943359375
200.0,-462.55429305999996,263,124,24800,94,53.78265193939209,0.001,14600,53.78265193939209,1.9871199131011963,2.5127601623535156,49.52146530151367,0,3.525248326063156,2.03126358628273,49.52146530151367
200.0,-415.59443673999994,258,128,25600,99,52.50750690460205,0.001,15400,52.50750690460205,2.2685742378234863,1.9702930450439453,48.681766510009766,0,3.7609892898797987,2.323108024597168,48.681766510009766
200.0,-370.77795236000014,253,132,26400,104,52.25515361785889,0.001,16200,52.25515361785889,2.3402273654937744,5.714713096618652,45.74970626831055,0,3.6116420522332193,2.305129669904709,45.74970626831055
200.0,-325.34059606999995,249,136,27200,109,50.69519077301025,0.001,17000,50.69519077301025,2.046494722366333,4.339669227600098,61.20112991333008,0,3.49001039147377,2.2014384603500368,61.20112991333008
