rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/fps,time/total_timesteps,train/Main_losses,train/learning_rate,train/critic_loss,train/actor_loss,train/RL_loss,train/MSE_losses,train/critic_los,train/Beta,train/MSE_loss,train/n_updates,train/loss
-1275.581111,0,200.0,4,4931,800,,,,,,,,,,,
-1236.8643685,0,200.0,8,4969,1600,,,,,,,,,,,
-1176.4527175833334,0,200.0,12,4948,2400,,,,,,,,,,,
-1185.985429625,0,200.0,16,4976,3200,,,,,,,,,,,
-1226.7837608500001,0,200.0,20,4560,4000,,,,,,,,,,,
-1245.2888082916666,1,200.0,24,4395,4800,,,,,,,,,,,
-1246.5663736428571,1,200.0,28,4300,5600,,,,,,,,,,,
-1230.436403,1,200.0,32,4152,6400,,,,,,,,,,,
-1228.9852929444444,1,200.0,36,4117,7200,,,,,,,,,,,
-1202.622703525,1,200.0,40,4129,8000,,,,,,,,,,,
-1180.23443975,2,200.0,44,4022,8800,,,,,,,,,,,
-1204.5817715,2,200.0,48,3937,9600,,,,,,,,,,,
-1214.3069934423077,3,200.0,52,2639,10400,11.696305150985717,0.001,5.1506642074882985,7.047576704025269,8.062592506408691,1.859491367340088,0.3327673077583313,0.5,1.6814340353012085,200,12.266178131103516
-1144.798541125,9,200.0,56,1232,11200,20.55507110595703,0.001,0.06384520215913653,16.8574303150177,17.021312713623047,1.6076699578762055,0.06190136820077896,0.46,1.5863666534423828,1000,20.66995620727539
-1079.9926489666666,14,200.0,60,839,12000,28.967822093963623,0.001,0.17306927423924207,25.56106611251831,27.135805130004883,1.622264792919159,0.1105891615152359,0.42,1.6821630001068115,1800,30.668346405029297
-1018.1373502031249,19,200.0,64,657,12800,36.381185150146486,0.001,0.3728699240088463,33.26686269760132,33.20297622680664,1.6391172122955322,0.5252450108528137,0.38,1.5015168190002441,2600,36.05585861206055
-979.8891722205883,24,200.0,68,551,13600,41.54327732086182,0.001,0.5726320886611939,38.73995960235596,38.10343551635742,1.6490103137493133,0.3724437654018402,0.34,2.1436984539031982,3400,41.74772262573242
-933.6272064027776,29,200.0,72,482,14400,46.079733772277834,0.001,0.8083436417579651,43.61031970977783,46.68735122680664,1.646275943517685,0.6312446594238281,0.3,1.9887456893920898,4200,49.67047119140625
-889.1933437368417,34,200.0,76,434,15200,49.09142707824707,0.001,0.775402634292841,46.983528785705566,48.89322280883789,1.6214601194858551,0.6686481237411499,0.26,1.8459486961364746,5000,51.2929573059082
-847.8012663,40,200.0,80,399,16000,50.91181495666504,0.001,0.9644500999152661,49.13447612762451,51.954349517822266,1.6157624804973603,0.7888286113739014,0.22,1.5631835460662842,5800,53.673851013183594
-813.2271980119049,45,200.0,84,371,16800,52.51494079589844,0.001,0.9744439043104649,51.08472621917725,48.52984619140625,1.5891272735595703,1.6523829698562622,0.18,1.634594202041626,6600,50.000980377197266
-781.6980206249999,50,200.0,88,350,17600,51.89263751983643,0.001,1.3656733950972557,50.77884418487549,43.45770263671875,1.5911333334445954,1.771888017654419,0.14,1.619615077972412,7400,44.591434478759766
-754.4417099782607,55,200.0,92,332,18400,52.211412544250486,0.001,1.629774954020977,51.41623325347901,60.49323272705078,1.5903583979606628,0.950364351272583,0.1,1.4050475358963013,8200,61.19575500488281
-731.5092680104167,60,200.0,96,317,19200,54.046202964782715,0.001,2.108843055665493,53.563498878479,49.815887451171875,1.609013934135437,2.0162599086761475,0.06,1.394724726676941,9000,50.23430633544922
-708.0287667099999,65,200.0,100,304,20000,53.02817649841309,0.001,2.302145544886589,52.85172847747803,45.856361389160156,1.7644808030128478,0.4827268123626709,0.02,1.6777950525283813,9800,46.024139404296875
-660.6234222,70,200.0,104,293,20800,52.0687813949585,0.001,2.4585503947734835,52.0687813949585,46.30933380126953,1.9906371581554412,1.7628813982009888,0,1.976783275604248,10600,46.30933380126953
-619.89984706,75,200.0,108,285,21600,52.35481418609619,0.001,2.742117693722248,52.35481418609619,52.72158432006836,1.9803314197063446,2.425421953201294,0,1.88140869140625,11400,52.72158432006836
-583.9737830199999,80,200.0,112,277,22400,52.32163108825684,0.001,2.9034106051921844,52.32163108825684,55.771873474121094,2.113593024015427,2.478137493133545,0,2.1128616333007812,12200,55.771873474121094
-540.21009385,85,200.0,116,270,23200,51.48318706512451,0.001,3.3309578666090967,51.48318706512451,46.238037109375,2.072583395242691,3.0575270652770996,0,2.086604356765747,13000,46.238037109375
-490.52680566999993,90,200.0,120,264,24000,49.76188713073731,0.001,3.303684101700783,49.76188713073731,45.278358459472656,2.1010054755210876,1.8415337800979614,0,2.2749037742614746,13800,45.278358459472656
-445.32591455,95,200.0,124,259,24800,49.078322105407715,0.001,3.470099658370018,49.078322105407715,46.93845748901367,2.165903123617172,1.9495408535003662,0,1.9214818477630615,14600,46.93845748901367
-401.17513513000006,100,200.0,128,254,25600,48.740980834960936,0.001,3.203735536932945,48.740980834960936,60.22170639038086,2.1609216821193695,3.8856759071350098,0,2.310309648513794,15400,60.22170639038086
-361.34142699000006,105,200.0,132,250,26400,47.003600025177,0.001,3.57327819108963,47.003600025177,30.884008407592773,2.200581682920456,4.557196617126465,0,1.6240394115447998,16200,30.884008407592773
-320.14718596000006,110,200.0,136,246,27200,45.74820945739746,0.001,2.9890384623408317,45.74820945739746,50.7892951965332,2.2856487321853636,4.327746868133545,0,1.656321406364441,17000,50.7892951965332
-287.90077508,115,200.0,140,242,28000,46.42878982543945,0.001,3.0202204036712645,46.42878982543945,47.83627700805664,2.4437508273124693,2.642768383026123,0,2.4620325565338135,17800,47.83627700805664
-254.64359580000004,120,200.0,144,239,28800,45.072804641723636,0.001,3.198456102013588,45.072804641723636,36.75979232788086,2.730490140914917,7.127231121063232,0,2.519897937774658,18600,36.75979232788086
-203.71324012000005,125,200.0,148,236,29600,44.408345794677736,0.001,3.276002082824707,44.408345794677736,49.49789810180664,2.4119885766506197,5.192598342895508,0,2.594336986541748,19400,49.49789810180664
-157.78330895,130,200.0,152,233,30400,44.21120578765869,0.001,3.120686728954315,44.21120578765869,46.07619857788086,2.9611675477027894,2.086472511291504,0,2.747323513031006,20200,46.07619857788086
-153.21336772999996,135,200.0,156,230,31200,42.43176197052002,0.001,3.447000063955784,42.43176197052002,39.7967414855957,2.9129515409469606,1.5675592422485352,0,2.2704989910125732,21000,39.7967414855957
-150.99170963999998,140,200.0,160,228,32000,41.99496681213379,0.001,3.155304728746414,41.99496681213379,50.76515579223633,3.1222888350486757,1.6260552406311035,0,3.035931348800659,21800,50.76515579223633
-151.17224522000004,145,200.0,164,226,32800,41.850713882446286,0.001,2.6754106211662294,41.850713882446286,46.83375930786133,3.096005721092224,1.4133065938949585,0,2.902130603790283,22600,46.83375930786133
-142.75873632,150,200.0,168,223,33600,41.01555976867676,0.001,2.938437311053276,41.01555976867676,38.88422393798828,3.040145342350006,1.8820276260375977,0,3.4108543395996094,23400,38.88422393798828
-144.07786559,154,200.0,172,221,34400,40.58495855331421,0.001,3.103532979786396,40.58495855331421,42.06636047363281,2.9971481204032897,1.567513346672058,0,2.906079053878784,24200,42.06636047363281
-146.86357249,159,200.0,176,220,35200,40.005806560516355,0.001,2.6806144171953203,40.005806560516355,35.64482879638672,3.0074929881095884,4.999299049377441,0,3.3570730686187744,25000,35.64482879638672
