rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,time/total_timesteps,train/loss,train/actor_loss,train/MSE_losses,train/MSE_loss,train/n_updates,train/critic_los,train/critic_loss,train/Main_losses,train/RL_loss,train/Beta,train/learning_rate
200.0,-952.360312,0,4869,4,800,,,,,,,,,,,
200.0,-992.780623,0,4906,8,1600,,,,,,,,,,,
200.0,-1126.6239059166667,0,4892,12,2400,,,,,,,,,,,
200.0,-1180.9746416875,0,4917,16,3200,,,,,,,,,,,
200.0,-1165.95653045,0,4915,20,4000,,,,,,,,,,,
200.0,-1204.0279547500002,0,4917,24,4800,,,,,,,,,,,
200.0,-1208.7864628928571,1,4889,28,5600,,,,,,,,,,,
200.0,-1210.020358125,1,4895,32,6400,,,,,,,,,,,
200.0,-1196.1788213333334,1,4891,36,7200,,,,,,,,,,,
200.0,-1208.6961271,1,4751,40,8000,,,,,,,,,,,
200.0,-1208.0174453636364,1,4765,44,8800,,,,,,,,,,,
200.0,-1216.6118757291667,2,4777,48,9600,,,,,,,,,,,
200.0,-1198.6189858653847,3,2985,52,10400,14.549196243286133,7.533283189535141,1.8892996990680695,2.2979304790496826,200,0.6134569048881531,5.128303266316652,12.256532444953919,8.804369926452637,0.5,0.001
200.0,-1134.8876469464287,8,1307,56,11200,22.557323455810547,17.269452867507933,1.6248026883602142,1.6794592142105103,1000,0.045084767043590546,0.07184325831010938,21.006498985290527,18.69456672668457,0.46,0.001
200.0,-1071.2024828,13,879,60,12000,32.464847564697266,26.289378147125245,1.610517828464508,1.446093201637268,1800,0.16678492724895477,0.16930735550820827,29.67146535873413,29.42805290222168,0.42,0.001
200.0,-1011.7224567343751,18,683,64,12800,38.22494888305664,33.84660713195801,1.6382833921909332,1.3118113279342651,2600,0.34391146898269653,0.43249543286859987,36.95934555053711,35.732505798339844,0.38,0.001
200.0,-959.77571675,23,571,68,13600,46.76260757446289,39.723617458343504,1.6617000639438628,1.8661516904830933,3400,0.8175137042999268,0.6061531621217727,42.548507652282716,43.59014892578125,0.34,0.001
200.0,-914.6373470277779,28,497,72,14400,45.76857376098633,44.42126022338867,1.687497718334198,1.6273632049560547,4200,0.3658444285392761,0.6723717260360718,46.9525068283081,43.32752990722656,0.3,0.001
200.0,-874.3528649078947,34,446,76,15200,58.41670227050781,47.427571830749514,1.6517078363895417,2.0535788536071777,5000,0.6112022399902344,0.6593333269655705,49.574792022705076,55.74705123901367,0.26,0.001
200.0,-841.2443117,39,408,80,16000,46.12361526489258,49.91329360961914,1.6547476220130921,1.4485952854156494,5800,0.6567121744155884,0.6127196253836155,51.73351612091064,44.53015899658203,0.22,0.001
200.0,-809.5956768690476,44,378,84,16800,48.104454040527344,50.86480968475342,1.638099683523178,1.4776617288589478,6600,0.6303684115409851,0.8052568620443344,52.33909927368164,46.774559020996094,0.18,0.001
200.0,-778.2196427272727,49,355,88,17600,50.208763122558594,51.8111340713501,1.571967093348503,1.4588738679885864,7400,0.7846035957336426,0.9889051699638367,52.911510963439945,49.18754959106445,0.14,0.001
200.0,-750.8976334347826,54,336,92,18400,52.47673034667969,52.8601655960083,1.6056394171714783,1.4774121046066284,8200,1.0959715843200684,1.2684176909923552,53.66298515319824,51.7380256652832,0.1,0.001
200.0,-728.9327285416666,59,321,96,19200,54.153221130371094,53.525349159240726,1.6011723244190217,1.9888073205947876,9000,2.12831974029541,1.7257284408807754,54.00570079803467,53.55657958984375,0.06,0.001
200.0,-706.9537548599999,64,308,100,20000,62.60154724121094,53.44229106903076,1.7363208734989166,1.7515689134597778,9800,4.26154899597168,2.1592562983930113,53.61592315673828,62.4263916015625,0.02,0.001
200.0,-671.25243472,69,297,104,20800,52.13878631591797,52.38043838500977,2.038279740810394,1.722725510597229,10600,4.058259963989258,2.5803418809175493,52.38043838500977,52.13878631591797,0,0.001
200.0,-633.49552398,74,289,108,21600,53.53572082519531,51.36885322570801,2.024786001443863,1.7256847620010376,11400,3.1443052291870117,3.0619422858953476,51.36885322570801,53.53572082519531,0,0.001
200.0,-582.5048804700001,79,281,112,22400,49.64942169189453,50.736383285522464,2.03023215174675,2.083974599838257,12200,5.055505752563477,3.189986470937729,50.736383285522464,49.64942169189453,0,0.001
200.0,-532.60089966,84,274,116,23200,32.560546875,50.038496551513674,2.1762571835517885,2.216813802719116,13000,3.8545756340026855,3.6599270564317705,50.038496551513674,32.560546875,0,0.001
200.0,-493.42434967,89,268,120,24000,52.03404998779297,48.890775203704834,2.1387989830970766,2.042146921157837,13800,1.32332181930542,3.4632655823230745,48.890775203704834,52.03404998779297,0,0.001
200.0,-439.98450936,94,262,124,24800,56.396366119384766,48.51538368225098,2.108724771738052,2.0397090911865234,14600,4.004855155944824,3.940391629934311,48.51538368225098,56.396366119384766,0,0.001
200.0,-395.3692987,99,257,128,25600,52.66609191894531,47.70815299987793,2.0505657267570494,1.7278732061386108,15400,3.7488436698913574,4.0143138495087625,47.70815299987793,52.66609191894531,0,0.001
