time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/episodes,train/n_updates,train/learning_rate,train/Beta,train/critic_loss,train/MSE_losses,train/Main_losses,train/critic_los,train/actor_loss,train/MSE_loss,train/RL_loss,train/loss
0,-1445.91772975,200.0,5100,800,4,,,,,,,,,,,
0,-1376.439775,200.0,5047,1600,8,,,,,,,,,,,
0,-1284.9179013333335,200.0,5042,2400,12,,,,,,,,,,,
0,-1340.5658916875,200.0,5042,3200,16,,,,,,,,,,,
0,-1297.0808726999999,200.0,5031,4000,20,,,,,,,,,,,
0,-1292.451788375,200.0,5034,4800,24,,,,,,,,,,,
1,-1285.5477009642857,200.0,5024,5600,28,,,,,,,,,,,
1,-1255.85500471875,200.0,5024,6400,32,,,,,,,,,,,
1,-1243.5098766666665,200.0,5027,7200,36,,,,,,,,,,,
1,-1239.9978652,200.0,5028,8000,40,,,,,,,,,,,
1,-1232.4477288636363,200.0,5029,8800,44,,,,,,,,,,,
1,-1241.3057409166668,200.0,5031,9600,48,,,,,,,,,,,
3,-1246.4095766346154,200.0,3126,10400,52,200,0.001,0.0,5.100322919487954,4.644017872810363,7.572868053913116,0.5046650767326355,7.572868053913116,5.687954425811768,8.547900199890137,8.547900199890137
8,-1270.2326430357145,200.0,1360,11200,56,1000,0.001,0.0,0.056991060758009554,7.0303754711151125,17.455307149887084,0.08785430341959,17.455307149887084,7.213481426239014,18.48780059814453,18.48780059814453
13,-1272.9540374833334,200.0,913,12000,60,1800,0.001,0.0,0.08277552703395485,6.523344678878784,27.725615558624266,0.07531149685382843,27.725615558624266,6.920665264129639,29.38389015197754,29.38389015197754
18,-1272.0024860156252,200.0,709,12800,64,2600,0.001,0.0,0.14115471802651883,5.8969302129745484,37.13701103210449,0.09347130358219147,37.13701103210449,5.686975002288818,38.872920989990234,38.872920989990234
22,-1262.8797547794118,200.0,592,13600,68,3400,0.001,0.0,0.2674014650285244,5.305267581939697,46.53930633544922,0.21324431896209717,46.53930633544922,5.174534797668457,48.28364181518555,48.28364181518555
27,-1231.8127217916667,200.0,516,14400,72,4200,0.001,0.0,0.3123123698681593,4.755198485851288,54.06426132202149,0.2019137442111969,54.06426132202149,4.987694263458252,55.09027099609375,55.09027099609375
32,-1175.732404723684,200.0,463,15200,76,5000,0.001,0.0,0.4673777402192354,4.197454478740692,58.85211845397949,0.9134771823883057,58.85211845397949,4.051414489746094,56.58468246459961,56.58468246459961
37,-1144.9951741,200.0,424,16000,80,5800,0.001,0.0,0.5315345560014247,3.7888146686553954,63.801286430358886,0.391704797744751,63.801286430358886,3.6669700145721436,62.567195892333984,62.567195892333984
42,-1100.4709637619048,200.0,394,16800,84,6600,0.001,0.0,0.5783530396223068,3.2341538667678833,67.19578025817871,0.4500737488269806,67.19578025817871,3.0267083644866943,75.2589340209961,75.2589340209961
47,-1056.1140558863635,200.0,370,17600,88,7400,0.001,0.0,0.8429254955053329,2.803934459686279,68.34968772888183,0.45036032795906067,68.34968772888183,2.740642547607422,73.72063446044922,73.72063446044922
