time/episodes,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/critic_los,train/MSE_loss,train/learning_rate,train/n_updates,train/loss,train/Beta,train/RL_loss,train/actor_loss,train/Main_losses,train/critic_loss,train/MSE_losses
4,4983,200.0,-1114.1871704999999,0,800,,,,,,,,,,,
8,4993,200.0,-1243.29312725,0,1600,,,,,,,,,,,
12,5005,200.0,-1313.91630825,0,2400,,,,,,,,,,,
16,5011,200.0,-1274.98007925,0,3200,,,,,,,,,,,
20,5013,200.0,-1302.5093516500003,0,4000,,,,,,,,,,,
24,5015,200.0,-1285.2206973749999,0,4800,,,,,,,,,,,
28,5012,200.0,-1279.7241856785713,1,5600,,,,,,,,,,,
32,5012,200.0,-1300.0391493749999,1,6400,,,,,,,,,,,
36,5013,200.0,-1296.3617637500001,1,7200,,,,,,,,,,,
40,5015,200.0,-1292.882704225,1,8000,,,,,,,,,,,
44,5016,200.0,-1279.0460087954546,1,8800,,,,,,,,,,,
48,5016,200.0,-1271.5075502291668,1,9600,,,,,,,,,,,
52,3115,200.0,-1275.387202846154,3,10400,0.42437177896499634,6.382018089294434,0.001,200,9.030374526977539,0.0,9.030374526977539,7.561520899534226,7.561520899534226,5.658252137452364,5.2698423957824705
56,1357,200.0,-1302.1608348571428,8,11200,0.04089953750371933,6.603221893310547,0.001,1000,17.851715087890625,0.0,17.851715087890625,17.66049454689026,17.66049454689026,0.05414065321907401,7.211384334564209
60,911,200.0,-1312.7543637166668,13,12000,0.17706623673439026,6.794516563415527,0.001,1800,29.599706649780273,0.0,29.599706649780273,28.116751384735107,28.116751384735107,0.10083495113998651,6.6020598983764645
64,707,200.0,-1305.966993875,18,12800,0.23314377665519714,5.997807502746582,0.001,2600,39.26620101928711,0.0,39.26620101928711,38.324353523254395,38.324353523254395,0.1659216557443142,6.065324535369873
68,591,200.0,-1282.2689582500002,22,13600,0.15815362334251404,5.550665855407715,0.001,3400,47.50880813598633,0.0,47.50880813598633,46.955971488952635,46.955971488952635,0.3135282024741173,5.427959003448486
72,516,200.0,-1245.829582625,27,14400,0.22580966353416443,4.4365386962890625,0.001,4200,57.88728713989258,0.0,57.88728713989258,54.91092430114746,54.91092430114746,0.3539670415222645,4.989728994369507
76,463,200.0,-1188.9495774342106,32,15200,0.4090815782546997,4.113398551940918,0.001,5000,60.87857437133789,0.0,60.87857437133789,59.192619705200194,59.192619705200194,0.4804225813597441,4.169827954769135
80,424,200.0,-1139.45949575,37,16000,0.35783523321151733,3.6811861991882324,0.001,5800,65.31537628173828,0.0,65.31537628173828,63.12533241271973,63.12533241271973,0.5596594071388244,3.6974938178062438
84,394,200.0,-1094.6161143452384,42,16800,0.6696569323539734,3.17645001411438,0.001,6600,69.08517456054688,0.0,69.08517456054688,66.1278286743164,66.1278286743164,0.652074883133173,3.2616185188293456
88,370,200.0,-1053.0712876704545,47,17600,0.843925952911377,2.38120436668396,0.001,7400,66.42780303955078,0.0,66.42780303955078,68.77660774230957,68.77660774230957,0.8590885622799397,2.6031326305866243
92,350,200.0,-1017.6890470108694,52,18400,2.2965025901794434,1.9471659660339355,0.001,8200,73.67781829833984,0.0,73.67781829833984,70.13163349151611,70.13163349151611,0.9259002809226513,2.191878854036331
96,334,200.0,-980.4994511979166,57,19200,0.6519306302070618,2.104205846786499,0.001,9000,71.21514129638672,0.0,71.21514129638672,70.4378218460083,70.4378218460083,1.1309796273708344,2.0635999834537504
100,321,200.0,-946.1680126199999,62,20000,2.3173727989196777,1.6789766550064087,0.001,9800,68.9864501953125,0.0,68.9864501953125,71.83245880126952,71.83245880126952,1.3782435846328736,1.7821626019477845
104,309,200.0,-907.6637966599999,67,20800,1.4320025444030762,2.0435726642608643,0.001,10600,74.06645965576172,0.0,74.06645965576172,72.50618488311767,72.50618488311767,1.6949869230389596,1.8004036438465119
108,299,200.0,-856.3869270900001,72,21600,1.971288800239563,1.970295786857605,0.001,11400,76.22917175292969,0.0,76.22917175292969,72.95239479064941,72.95239479064941,1.7271175529062748,2.106494072675705
112,291,200.0,-804.3657832999999,76,22400,2.3658711910247803,2.384291410446167,0.001,12200,68.8084487915039,0.0,68.8084487915039,71.20621158599853,71.20621158599853,2.100441399514675,2.2743272757530213
116,283,200.0,-765.79384972,81,23200,1.244030237197876,2.4350085258483887,0.001,13000,72.82987976074219,0.0,72.82987976074219,72.04287395477294,72.04287395477294,2.373063659965992,2.5765724861621857
120,276,200.0,-715.41260883,86,24000,2.1368117332458496,2.4801957607269287,0.001,13800,63.27388381958008,0.0,63.27388381958008,71.85778343200684,71.85778343200684,2.2971700018644334,2.7603374457359315
124,270,200.0,-671.2246964900002,91,24800,1.2735915184020996,2.549860715866089,0.001,14600,75.39811706542969,0.0,75.39811706542969,72.14357955932617,72.14357955932617,2.610049338936806,2.595414764881134
128,265,200.0,-626.16480376,96,25600,3.209559440612793,2.8074820041656494,0.001,15400,76.65270233154297,0.0,76.65270233154297,70.0652400970459,70.0652400970459,3.1807723659276963,2.4541924691200254
132,260,200.0,-574.54670548,101,26400,3.2949788570404053,2.1209466457366943,0.001,16200,77.39495849609375,0.0,77.39495849609375,69.24436729431153,69.24436729431153,3.195336562693119,2.7077697145938875
136,255,200.0,-526.41291043,106,27200,3.4924864768981934,2.7739293575286865,0.001,17000,64.05829620361328,0.0,64.05829620361328,67.90401973724366,67.90401973724366,3.159712747335434,2.3449203515052797
140,251,200.0,-482.24566125000007,111,28000,4.048335552215576,1.789860486984253,0.001,17800,60.2607421875,0.0,60.2607421875,66.5217887878418,66.5217887878418,3.1589093482494355,2.5172475504875185
