rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/MSE_losses,train/critic_los,train/loss,train/n_updates,train/actor_loss,train/MSE_loss,train/Beta,train/learning_rate,train/critic_loss,train/Main_losses,train/RL_loss
200.0,4,-1152.9844355,800,4986,0,,,,,,,,,,,
200.0,8,-1382.255265875,1600,4982,0,,,,,,,,,,,
200.0,12,-1337.6094513333335,2400,4991,0,,,,,,,,,,,
200.0,16,-1317.39195625,3200,5000,0,,,,,,,,,,,
200.0,20,-1336.3977678000003,4000,5004,0,,,,,,,,,,,
200.0,24,-1315.2445574166668,4800,5008,0,,,,,,,,,,,
200.0,28,-1314.582697,5600,5006,1,,,,,,,,,,,
200.0,32,-1271.747023875,6400,5005,1,,,,,,,,,,,
200.0,36,-1247.4277845833333,7200,5007,1,,,,,,,,,,,
200.0,40,-1247.170273925,8000,5010,1,,,,,,,,,,,
200.0,44,-1252.332007022727,8800,5010,1,,,,,,,,,,,
200.0,48,-1236.9682216875,9600,5012,1,,,,,,,,,,,
200.0,52,-1250.1803781923077,10400,3109,3,5.44757595539093,0.4229189157485962,8.371261596679688,200,7.500577518939972,5.356637954711914,0.0,0.001,5.119654911458492,7.500577518939972,8.371261596679688
200.0,56,-1271.5811490892859,11200,1349,8,7.220184721946716,0.08285422623157501,17.324718475341797,1000,17.700974445343018,7.120695114135742,0.0,0.001,0.04602606826461852,17.700974445343018,17.324718475341797
200.0,60,-1281.8293114666667,12000,907,13,6.382689824104309,0.08384372293949127,28.58023452758789,1800,27.838417568206786,5.943056583404541,0.0,0.001,0.08077882783487439,27.838417568206786,28.58023452758789
200.0,64,-1252.709670640625,12800,705,18,5.767197561264038,0.07895572483539581,36.550777435302734,2600,37.53460041046142,5.553467750549316,0.0,0.001,0.11017771543934941,37.53460041046142,36.550777435302734
200.0,68,-1232.4741844117648,13600,589,23,5.09970160484314,0.22741344571113586,48.38470458984375,3400,46.104474563598636,5.369145393371582,0.0,0.001,0.3014632787555456,46.104474563598636,48.38470458984375
200.0,72,-1192.6749654166665,14400,514,28,4.4661736488342285,0.38754796981811523,51.703582763671875,4200,51.30433578491211,4.705554008483887,0.0,0.001,0.3199328023195267,51.30433578491211,51.703582763671875
200.0,76,-1163.7285853421051,15200,461,32,4.0249683380126955,0.31849390268325806,54.03615951538086,5000,58.64479705810547,4.6079182624816895,0.0,0.001,0.3644617273658514,58.64479705810547,54.03615951538086
200.0,80,-1108.8466285499999,16000,423,37,3.4545384311676024,0.4881492853164673,60.36241912841797,5800,62.019511184692384,2.8936352729797363,0.0,0.001,0.47072960048913953,62.019511184692384,60.36241912841797
200.0,84,-1062.0326007619046,16800,392,42,2.84316748380661,0.6503407955169678,63.63648223876953,6600,63.92166721343994,2.7447781562805176,0.0,0.001,0.6628931169211865,63.92166721343994,63.63648223876953
200.0,88,-1022.0305196363635,17600,369,47,2.4442444229125977,0.8413490056991577,69.30975341796875,7400,66.07527019500732,2.083798885345459,0.0,0.001,0.7328119030594826,66.07527019500732,69.30975341796875
200.0,92,-982.9232780978257,18400,349,52,2.148804076910019,0.9095340967178345,69.17518615722656,8200,66.87912761688233,2.1190288066864014,0.0,0.001,0.9035845087468624,66.87912761688233,69.17518615722656
200.0,96,-946.87599353125,19200,333,57,1.9671918594837188,0.9020364284515381,66.22704315185547,9000,68.13369621276856,2.0295519828796387,0.0,0.001,1.1974737924337386,68.13369621276856,66.22704315185547
200.0,100,-914.0327245399999,20000,320,62,1.9088479638099671,1.508360743522644,69.33793640136719,9800,69.40688152313233,1.691366195678711,0.0,0.001,1.3281751817464829,69.40688152313233,69.33793640136719
