rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/Main_losses,train/critic_los,train/Beta,train/actor_loss,train/RL_loss,train/loss,train/critic_loss,train/learning_rate,train/MSE_losses,train/n_updates,train/MSE_loss
-952.360312,800,4,200.0,4984,0,,,,,,,,,,,
-992.780623,1600,8,200.0,4989,0,,,,,,,,,,,
-1126.6239059166667,2400,12,200.0,5005,0,,,,,,,,,,,
-1180.9746416875,3200,16,200.0,5042,0,,,,,,,,,,,
-1165.95653045,4000,20,200.0,5064,0,,,,,,,,,,,
-1204.0279547500002,4800,24,200.0,5081,0,,,,,,,,,,,
-1208.7864628928571,5600,28,200.0,5094,1,,,,,,,,,,,
-1210.020358125,6400,32,200.0,5102,1,,,,,,,,,,,
-1196.1788213333334,7200,36,200.0,5112,1,,,,,,,,,,,
-1208.6961271,8000,40,200.0,5118,1,,,,,,,,,,,
-1208.0174453636364,8800,44,200.0,5122,1,,,,,,,,,,,
-1216.6118757291667,9600,48,200.0,5125,1,,,,,,,,,,,
-1219.9832923653846,10400,52,200.0,3148,3,7.328388880491257,0.6234766244888306,0.0,7.328388880491257,8.499588012695312,8.499588012695312,5.1361923038959505,0.001,5.939573967456818,200,6.802460670471191
-1243.9147105714287,11200,56,200.0,1358,8,17.15230050086975,0.051164425909519196,0.0,17.15230050086975,18.963642120361328,18.963642120361328,0.06131455583497882,0.001,6.8075461149215695,1000,6.795630931854248
-1255.8312745333337,12000,60,200.0,910,13,27.58317663192749,0.1963518261909485,0.0,27.58317663192749,30.72849464416504,30.72849464416504,0.11895078349858522,0.001,6.605987763404846,1800,6.676915645599365
-1248.451938375,12800,64,200.0,706,18,36.94021507263184,0.2515026330947876,0.0,36.94021507263184,38.55406188964844,38.55406188964844,0.20674989156425,0.001,5.97115204334259,2600,5.840713977813721
-1211.9444322058823,13600,68,200.0,589,23,44.81637802124023,0.33062463998794556,0.0,44.81637802124023,49.62697982788086,49.62697982788086,0.255171330422163,0.001,5.2889607143402095,3400,5.394595146179199
